original_name,standardized_name
Oklahoma,Oklahoma
Oklahoma St.,Oklahoma St.
Oklahoma State,Oklahoma St.
Old Dominion,Old Dominion
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon St.,Oregon St.
Oregon State,Oregon St.
Pacific,Pacific
Penn,Penn
Penn St.,Penn St.
Penn State,Penn St.
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
Portland,Portland
Portland St.,Portland St.
Prairie View A&M,Prairie View A&M
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
SIU Edwardsville,SIU Edwardsville
SMU,SMU
Sacramento St.,Sacramento St.
Sacred Heart,Sacred Heart
Saint Joseph's,Saint Joseph's
Saint Louis,Saint Louis
Saint Mary's,Saint Mary's
Saint Peter's,Saint Peter's
Sam Houston St.,Sam Houston St.
Samford,Samford
San Diego,San Diego
San Diego St.,San Diego St.
San Diego State,San Diego St.
San Francisco,San Francisco
San Jose St.,San Jose St.
Santa Clara,Santa Clara
Savannah St.,Savannah St.
Seattle,Seattle
Seton Hall,Seton Hall
Siena,Siena
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina St.,South Carolina St.
South Dakota,South Dakota
South Dakota St.,South Dakota St.
South Dakota State,South Dakota St.
South Florida,South Florida
Southeast Missouri St.,Southeast Missouri St.
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern Illinois,Southern Illinois
Southern Methodist,Southern Miss
Southern Miss,Southern Miss
Southern Utah,Southern Utah
St. Bonaventure,St. Bonaventure
St. Francis NY,St. Francis NY
St. Francis PA,St. Francis PA
St. John's,St. John's
St. John's (NY),St. John's
Stanford,Stanford
Stephen F. Austin,Stephen F. Austin
Stetson,Stetson
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TCU
Temple,Temple
Tennessee,Tennessee
Tennessee Martin,Tennessee Martin
Tennessee St.,Tennessee St.
Tennessee Tech,Tennessee Tech
Tennessee-Martin,Tennessee Martin
Texas,Texas
Texas A&M,Texas A&M
Texas A&M Corpus Chris,Texas A&M Corpus Chris
Texas Southern,Texas Southern
Texas St.,Texas St.
Texas Tech,Texas Tech
Texas-Arlington,UT Arlington
The Citadel,The Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC Santa Barbara,UC Santa Barbara
UCF,UCF
UCLA,UCLA
UMBC,UMBC
UMKC,UMKC
UMass Lowell,UMass Lowell
UNC Asheville,UNC Asheville
UNC Greensboro,UNC Greensboro
UNC Wilmington,UNC Wilmington
UNLV,UNLV
USC,USC
USC Upstate,USC Upstate
UT Arlington,UT Arlington
UT Rio Grande Valley,UT Rio Grande Valley
UTEP,UTEP
UTSA,UTSA
Utah,Utah
Utah St.,Utah St.
Utah State,Utah St.
Utah Valley,Utah Valley
VCU,VCU
VMI,VMI
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington St.,Washington St.
Washington State,Washington St.
Weber St.,Weber St.
Weber State,Weber St.
West Virginia,West Virginia
Western Carolina,Western Carolina
Western Illinois,Western Illinois
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wichita St.,Wichita St.
Wichita State,Wichita St.
William & Mary,William & Mary
Winston Salem St.,Winston Salem St.
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St.,Wright St.
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown St.,Youngstown St.
