team,year,ap_rank,kenpom_rank,team_clean
IUPUI,2009,175,,IUPUI
Radford,2009,176,,Radford
Binghamton,2009,177,,Binghamton
Colorado,2009,178,,Colorado
Rider,2009,179,,Rider
South Alabama,2009,180,,South Alabama
Colorado St.,2009,181,,Colorado St.
Holy Cross,2009,182,,Holy Cross
Troy,2009,183,,Troy
Austin Peay,2009,184,,Austin Peay
Utah Valley,2009,185,,Utah Valley
Sacred Heart,2009,186,,Sacred Heart
George Washington,2009,187,,George Washington
St. Bonaventure,2009,188,,St. Bonaventure
UTSA,2009,189,,UTSA
Stony Brook,2009,190,,Stony Brook
Manhattan,2009,191,,Manhattan
San Jose St.,2009,192,,San Jose St.
Idaho St.,2009,193,,Idaho St.
The Citadel,2009,194,,The Citadel
Iona,2009,195,,Iona
Liberty,2009,196,,Liberty
Missouri St.,2009,197,,Missouri St.
Georgia,2009,198,,Georgia
Southeastern Louisiana,2009,199,,Southeastern Louisiana
Alabama St.,2009,200,,Alabama St.
Cal St. Fullerton,2009,201,,Cal St. Fullerton
Northern Colorado,2009,202,,Northern Colorado
Indiana St.,2009,203,,Indiana St.
Denver,2009,204,,Denver
SMU,2009,205,,SMU
DePaul,2009,206,,DePaul
Fresno St.,2009,207,,Fresno St.
Texas St.,2009,208,,Texas St.
Indiana,2009,209,,Indiana
Lamar,2009,210,,Lamar
Delaware,2009,211,,Delaware
South Dakota St.,2009,212,,South Dakota St.
Chattanooga,2009,213,,Chattanooga
Hawaii,2009,214,,Hawaii
East Carolina,2009,215,,East Carolina
IPFW,2009,216,,IPFW
UC Irvine,2009,217,,UC Irvine
Mercer,2009,218,,Mercer
UC Riverside,2009,219,,UC Riverside
UC Davis,2009,220,,UC Davis
Loyola MD,2009,221,,Loyola MD
Wofford,2009,222,,Wofford
Youngstown St.,2009,223,,Youngstown St.
Navy,2009,224,,Navy
Arkansas St.,2009,225,,Arkansas St.
Valparaiso,2009,226,,Valparaiso
Southern Utah,2009,227,,Southern Utah
Georgia St.,2009,228,,Georgia St.
Loyola Chicago,2009,229,,Loyola Chicago
Air Force,2009,230,,Air Force
McNeese St.,2009,231,,McNeese St.
Gardner Webb,2009,232,,Gardner Webb
Chicago St.,2009,233,,Chicago St.
William & Mary,2009,234,,William & Mary
Rice,2009,235,,Rice
Montana St.,2009,236,,Montana St.
Canisius,2009,237,,Canisius
Tennessee Tech,2009,238,,Tennessee Tech
Northern Arizona,2009,239,,Northern Arizona
Ball St.,2009,240,,Ball St.
Western Carolina,2009,241,,Western Carolina
Campbell,2009,242,,Campbell
LIU Brooklyn,2009,243,,LIU Brooklyn
San Francisco,2009,244,,San Francisco
Yale,2009,245,,Yale
Albany,2009,246,,Albany
Jackson St.,2009,247,,Jackson St.
Western Michigan,2009,248,,Western Michigan
Centenary,2009,249,,Centenary
Samford,2009,250,,Samford
Marist,2009,251,,Marist
Central Michigan,2009,252,,Central Michigan
Eastern Washington,2009,253,,Eastern Washington
Harvard,2009,254,,Harvard
Presbyterian,2009,255,,Presbyterian
Jacksonville St.,2009,256,,Jacksonville St.
Stetson,2009,257,,Stetson
Towson,2009,258,,Towson
Louisiana Lafayette,2009,259,,Louisiana Lafayette
Appalachian St.,2009,260,,Appalachian St.
New Hampshire,2009,261,,New Hampshire
UMBC,2009,262,,UMBC
UNC Asheville,2009,263,,UNC Asheville
Princeton,2009,264,,Princeton
Lehigh,2009,265,,Lehigh
FIU,2009,266,,FIU
Coppin St.,2009,267,,Coppin St.
Eastern Illinois,2009,268,,Eastern Illinois
Cal Poly,2009,269,,Cal Poly
Detroit,2009,270,,Detroit
Saint Peter's,2009,271,,Saint Peter's
Cal St. Bakersfield,2009,272,,Cal St. Bakersfield
Penn,2009,273,,Penn
Tennessee St.,2009,274,,Tennessee St.
Hampton,2009,275,,Hampton
South Carolina St.,2009,276,,South Carolina St.
Wagner,2009,277,,Wagner
Winthrop,2009,278,,Winthrop
Quinnipiac,2009,279,,Quinnipiac
Columbia,2009,280,,Columbia
UMKC,2009,281,,UMKC
New Orleans,2009,282,,New Orleans
USC Upstate,2009,283,,USC Upstate
Coastal Carolina,2009,284,,Coastal Carolina
Florida Atlantic,2009,285,,Florida Atlantic
Prairie View A&M,2009,286,,Prairie View A&M
Bethune Cookman,2009,287,,Bethune Cookman
Central Connecticut,2009,288,,Central Connecticut
Northern Illinois,2009,289,,Northern Illinois
Army,2009,290,,Army
Elon,2009,291,,Elon
Louisiana Monroe,2009,292,,Louisiana Monroe
Bucknell,2009,293,,Bucknell
Pepperdine,2009,294,,Pepperdine
Florida Gulf Coast,2009,295,,Florida Gulf Coast
Maine,2009,296,,Maine
Western Illinois,2009,297,,Western Illinois
Toledo,2009,298,,Toledo
North Carolina A&T,2009,299,,North Carolina A&T
SIU Edwardsville,2009,300,,SIU Edwardsville
St. Francis NY,2009,301,,St. Francis NY
Arkansas Pine Bluff,2009,302,,Arkansas Pine Bluff
Brown,2009,303,,Brown
Norfolk St.,2009,304,,Norfolk St.
UNC Wilmington,2009,305,,UNC Wilmington
High Point,2009,306,,High Point
Georgia Southern,2009,307,,Georgia Southern
