player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42,Isaiah Whitehead,Isaiah Whitehead_2016
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43,Zhou Qi,Zhou Qi_2016
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44,Isaia Cordinier,Isaia Cordinier_2016
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45,Demetrius Jackson,Demetrius Jackson_2016
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46,Aj Hammons,Aj Hammons_2016
Jake Layman,Orlando Magic,Maryland,2016,2,17,47,Jake Layman,Jake Layman_2016
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48,Paul Zipser,Paul Zipser_2016
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49,Michael Gbinije,Michael Gbinije_2016
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50,Georges Niang,Georges Niang_2016
Ben Bentil,Boston Celtics,Providence,2016,2,21,51,Ben Bentil,Ben Bentil_2016
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52,Joel Bolomboy,Joel Bolomboy_2016
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53,Petr Cornelie,Petr Cornelie_2016
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54,Kay Felder,Kay Felder_2016
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55,Marcus Paige,Marcus Paige_2016
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56,Daniel Hamilton,Daniel Hamilton_2016
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57,Wang Zhelin,Wang Zhelin_2016
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58,Abdel Nader,Abdel Nader_2016
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59,Isaiah Cousins,Isaiah Cousins_2016
Tyrone Wallace,Utah Jazz,California,2016,2,30,60,Tyrone Wallace,Tyrone Wallace_2016
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1,Karl-Anthony Towns,Karl-Anthony Towns_2015
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2,D'Angelo Russell,D'Angelo Russell_2015
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3,Jahlil Okafor,Jahlil Okafor_2015
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4,4,Kristaps Porzingis,Kristaps Porzingis_2015
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5,Mario Hezonja,Mario Hezonja_2015
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6,Willie Cauley-Stein,Willie Cauley-Stein_2015
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7,Emmanuel Mudiay,Emmanuel Mudiay_2015
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8,Stanley Johnson,Stanley Johnson_2015
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9,Frank Kaminsky,Frank Kaminsky_2015
Justise Winslow,Miami Heat,Duke,2015,1,10,10,Justise Winslow,Justise Winslow_2015
Myles Turner,Indiana Pacers,Texas,2015,1,11,11,Myles Turner,Myles Turner_2015
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12,Trey Lyles,Trey Lyles_2015
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13,Devin Booker,Devin Booker_2015
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14,Cameron Payne,Cameron Payne_2015
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15,Kelly Oubre Jr,Kelly Oubre Jr_2015
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16,Terry Rozier,Terry Rozier_2015
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17,Rashad Vaughn,Rashad Vaughn_2015
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18,Sam Dekker,Sam Dekker_2015
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19,Jerian Grant,Jerian Grant_2015
Delon Wright,Toronto Raptors,Utah,2015,1,20,20,Delon Wright,Delon Wright_2015
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21,Justin Anderson,Justin Anderson_2015
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22,Bobby Portis,Bobby Portis_2015
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson_2015
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24,Tyus Jones,Tyus Jones_2015
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25,Jarell Martin,Jarell Martin_2015
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26,Nikola Milutinov,Nikola Milutinov_2015
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27,Larry Nance Jr,Larry Nance Jr_2015
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28,Rj Hunter,Rj Hunter_2015
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29,Chris McCullough,Chris McCullough_2015
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30,Kevon Looney,Kevon Looney_2015
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31,Cedi Osman,Cedi Osman_2015
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32,Montrezl Harrell,Montrezl Harrell_2015
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33,Jordan Mickey,Jordan Mickey_2015
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34,Anthony Brown,Anthony Brown_2015
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35,Willy Hernangomez,Willy Hernangomez_2015
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36,Rakeem Christmas,Rakeem Christmas_2015
Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7,37,Richaun Holmes,Richaun Holmes_2015
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38,Darrun Hilliard,Darrun Hilliard_2015
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39,Juan Pablo Vaulet,Juan Pablo Vaulet_2015
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40,Josh Richardson,Josh Richardson_2015
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41,Pat Connaughton,Pat Connaughton_2015
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42,Olivier Hanlan,Olivier Hanlan_2015
Joe Young,Indiana Pacers,Oregon,2015,2,13,43,Joe Young,Joe Young_2015
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14,44,Andrew Harrison,Andrew Harrison_2015
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15,45,Marcus Thornton,Marcus Thornton_2015
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46,Norman Powell,Norman Powell_2015
Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17,47,Arturas Gudaitis,Arturas Gudaitis_2015
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18,48,Dakari Johnson,Dakari Johnson_2015
Aaron White,Washington Wizards,Iowa,2015,2,19,49,Aaron White,Aaron White_2015
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50,Marcus Eriksson,Marcus Eriksson_2015
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21,51,Tyler Harvey,Tyler Harvey_2015
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52,Satnam Singh,Satnam Singh_2015
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23,53,Sir'Dominic Pointer,Sir'Dominic Pointer_2015
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54,Daniel Diez,Daniel Diez_2015
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25,55,Cady Lalanne,Cady Lalanne_2015
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,26,56,Branden Dawson,Branden Dawson_2015
Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27,57,Nikola Radicevic,Nikola Radicevic_2015
JP Tokoto,Philadelphia 76ers,North Carolina,2015,2,28,58,Jp Tokoto,Jp Tokoto_2015
Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29,59,Dimitrios Agravanis,Dimitrios Agravanis_2015
Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30,60,Luka Mitrovic,Luka Mitrovic_2015
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1,Andrew Wiggins,Andrew Wiggins_2014
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2,Jabari Parker,Jabari Parker_2014
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3,Joel Embiid,Joel Embiid_2014
Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4,Aaron Gordon,Aaron Gordon_2014
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5,Dante Exum,Dante Exum_2014
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6,Marcus Smart,Marcus Smart_2014
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7,Julius Randle,Julius Randle_2014
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8,8,Nik Stauskas,Nik Stauskas_2014
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9,9,Noah Vonleh,Noah Vonleh_2014
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10,Elfrid Payton,Elfrid Payton_2014
Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11,Doug McDermott,Doug McDermott_2014
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12,Dario Saric,Dario Saric_2014
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13,Zach Lavine,Zach Lavine_2014
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14,14,Tj Warren,Tj Warren_2014
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15,15,Adreian Payne,Adreian Payne_2014
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16,Jusuf Nurkic,Jusuf Nurkic_2014
James Young,Boston Celtics,Kentucky,2014,1,17,17,James Young,James Young_2014
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18,18,Tyler Ennis,Tyler Ennis_2014
Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19,Gary Harris,Gary Harris_2014
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20,Bruno Caboclo,Bruno Caboclo_2014
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21,21,Mitch McGary,Mitch McGary_2014
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22,22,Jordan Adams,Jordan Adams_2014
Rodney Hood,Utah Jazz,Duke,2014,1,23,23,Rodney Hood,Rodney Hood_2014
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24,24,Shabazz Napier,Shabazz Napier_2014
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25,Clint Capela,Clint Capela_2014
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26,Pj Hairston,Pj Hairston_2014
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27,Bogdan Bogdanovic,Bogdan Bogdanovic_2014
C.J. Wilcox,Los Angeles Clippers,Washington,2014,1,28,28,Cj Wilcox,Cj Wilcox_2014
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29,29,Josh Huestis,Josh Huestis_2014
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30,Kyle Anderson,Kyle Anderson_2014
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31,Damien Inglis,Damien Inglis_2014
KJ McDaniels,Philadelphia 76ers,Clemson,2014,2,2,32,Kj McDaniels,Kj McDaniels_2014
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33,Joe Harris,Joe Harris_2014
Cleanthony Early,New York Knicks,Wichita State,2014,2,4,34,Cleanthony Early,Cleanthony Early_2014
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5,35,Jarnell Stokes,Jarnell Stokes_2014
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6,36,Johnny O'Bryant Iii,Johnny O'Bryant Iii_2014
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7,37,Deandre Daniels,Deandre Daniels_2014
Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8,38,Spencer Dinwiddie,Spencer Dinwiddie_2014
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39,Jerami Grant,Jerami Grant_2014
Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10,40,Glenn Robinson Iii,Glenn Robinson Iii_2014
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41,Nikola Jokic,Nikola Jokic_2014
Nick Johnson,Houston Rockets,Arizona,2014,2,12,42,Nick Johnson,Nick Johnson_2014
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43,Edy Tavares,Edy Tavares_2014
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14,44,Markel Brown,Markel Brown_2014
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45,Dwight Powell,Dwight Powell_2014
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46,Jordan Clarkson,Jordan Clarkson_2014
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17,47,Russ Smith,Russ Smith_2014
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18,48,Lamar Patterson,Lamar Patterson_2014
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19,49,Cameron Bairstow,Cameron Bairstow_2014
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20,50,Alec Brown,Alec Brown_2014
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51,Thanasis Antetokounmpo,Thanasis Antetokounmpo_2014
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52,Vasilije Micic,Vasilije Micic_2014
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53,Alessandro Gentile,Alessandro Gentile_2014
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54,Nemanja Dangubic,Nemanja Dangubic_2014
Semaj Christon,Miami Heat,Xavier,2014,2,25,55,Semaj Christon,Semaj Christon_2014
Devyn Marble,Denver Nuggets,Iowa,2014,2,26,56,Devyn Marble,Devyn Marble_2014
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57,Louis Labeyrie,Louis Labeyrie_2014
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28,58,Jordan McRae,Jordan McRae_2014
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29,59,Xavier Thames,Xavier Thames_2014
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30,60,Cory Jefferson,Cory Jefferson_2014
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1,1,Anthony Bennett,Anthony Bennett_2013
Victor Oladipo,Orlando Magic,Indiana,2013,1,2,2,Victor Oladipo,Victor Oladipo_2013
Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3,3,Otto Porter Jr,Otto Porter Jr_2013
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,4,Cody Zeller,Cody Zeller_2013
Alex Len,Phoenix Suns,Maryland,2013,1,5,5,Alex Len,Alex Len_2013
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6,6,Nerlens Noel,Nerlens Noel_2013
Ben McLemore,Sacramento Kings,Kansas,2013,1,7,7,Ben McLemore,Ben McLemore_2013
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,8,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope_2013
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9,9,Trey Burke,Trey Burke_2013
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,10,Cj McCollum,Cj McCollum_2013
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11,11,Michael Carter-Williams,Michael Carter-Williams_2013
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12,12,Steven Adams,Steven Adams_2013
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,13,Kelly Olynyk,Kelly Olynyk_2013
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14,14,Shabazz Muhammad,Shabazz Muhammad_2013
Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15,Giannis Antetokounmpo,Giannis Antetokounmpo_2013
Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16,16,Lucas Nogueira,Lucas Nogueira_2013
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17,Dennis Schroder,Dennis Schroder_2013
Shane Larkin,Atlanta Hawks,Miami (FL),2013,1,18,18,Shane Larkin,Shane Larkin_2013
Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19,19,Sergey Karasev,Sergey Karasev_2013
Tony Snell,Chicago Bulls,New Mexico,2013,1,20,20,Tony Snell,Tony Snell_2013
Gorgui Dieng,Utah Jazz,Louisville,2013,1,21,21,Gorgui Dieng,Gorgui Dieng_2013
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,22,Mason Plumlee,Mason Plumlee_2013
Solomon Hill,Indiana Pacers,Arizona,2013,1,23,23,Solomon Hill,Solomon Hill_2013
Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24,24,Tim Hardaway Jr,Tim Hardaway Jr_2013
Reggie Bullock,Los Angeles Clippers,North Carolina,2013,1,25,25,Reggie Bullock,Reggie Bullock_2013
Andre Roberson,Minnesota Timberwolves,Colorado,2013,1,26,26,Andre Roberson,Andre Roberson_2013
Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27,Rudy Gobert,Rudy Gobert_2013
Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28,28,Livio Jean-Charles,Livio Jean-Charles_2013
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29,29,Archie Goodwin,Archie Goodwin_2013
Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30,30,Nemanja Nedovic,Nemanja Nedovic_2013
Allen Crabbe,Cleveland Cavaliers,California,2013,2,1,31,Allen Crabbe,Allen Crabbe_2013
Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2,32,Alex Abrines,Alex Abrines_2013
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,3,33,Carrick Felix,Carrick Felix_2013
Isaiah Canaan,Houston Rockets,Murray State,2013,2,4,34,Isaiah Canaan,Isaiah Canaan_2013
Glen Rice,Philadelphia 76ers,Michigan,2013,2,5,35,Glen Rice,Glen Rice_2013
Ray McCallum,Sacramento Kings,Detroit Mercy,2013,2,6,36,Ray McCallum,Ray McCallum_2013
Tony Mitchell,Detroit Pistons,North Texas,2013,2,7,37,Tony Mitchell,Tony Mitchell_2013
Nate Wolters,Washington Wizards,South Dakota State,2013,2,8,38,Nate Wolters,Nate Wolters_2013
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,9,39,Jeff Withey,Jeff Withey_2013
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,10,40,Grant Jerrett,Grant Jerrett_2013
Jamaal Franklin,Memphis Grizzlies,San Diego State,2013,2,11,41,Jamaal Franklin,Jamaal Franklin_2013
Pierre Jackson,Philadelphia 76ers,Baylor,2013,2,12,42,Pierre Jackson,Pierre Jackson_2013
Ricky Ledo,Milwaukee Bucks,Providence,2013,2,13,43,Ricky Ledo,Ricky Ledo_2013
Mike Muscala,Dallas Mavericks,Bucknell,2013,2,14,44,Mike Muscala,Mike Muscala_2013
Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15,45,Marko Todorovic,Marko Todorovic_2013
Erick Green,Utah Jazz,Virginia Tech,2013,2,16,46,Erick Green,Erick Green_2013
Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47,Raul Neto,Raul Neto_2013
Ryan Kelly,Los Angeles Lakers,Duke,2013,2,18,48,Ryan Kelly,Ryan Kelly_2013
Erik Murphy,Chicago Bulls,Florida,2013,2,19,49,Erik Murphy,Erik Murphy_2013
James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20,50,James Ennis Iii,James Ennis Iii_2013
Romero Osby,Orlando Magic,Oklahoma,2013,2,21,51,Romero Osby,Romero Osby_2013
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,22,52,Lorenzo Brown,Lorenzo Brown_2013
Colton Iverson,Indiana Pacers,Colorado State,2013,2,23,53,Colton Iverson,Colton Iverson_2013
Arsalan Kazemi,Washington Wizards,Oregon,2013,2,24,54,Arsalan Kazemi,Arsalan Kazemi_2013
Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25,55,Joffrey Lauvergne,Joffrey Lauvergne_2013
Peyton Siva,Detroit Pistons,Louisville,2013,2,26,56,Peyton Siva,Peyton Siva_2013
Alex Oriakhi,Phoenix Suns,Missouri,2013,2,27,57,Alex Oriakhi,Alex Oriakhi_2013
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,28,58,Deshaun Thomas,Deshaun Thomas_2013
Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29,59,Bojan Dubljevic,Bojan Dubljevic_2013
Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30,60,Janis Timma,Janis Timma_2013
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1,1,Anthony Davis,Anthony Davis_2012
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2,2,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist_2012
Bradley Beal,Washington Wizards,Florida,2012,1,3,3,Bradley Beal,Bradley Beal_2012
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4,4,Dion Waiters,Dion Waiters_2012
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5,5,Thomas Robinson,Thomas Robinson_2012
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6,6,Damian Lillard,Damian Lillard_2012
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7,7,Harrison Barnes,Harrison Barnes_2012
Terrence Ross,Toronto Raptors,Washington,2012,1,8,8,Terrence Ross,Terrence Ross_2012
Andre Drummond,Detroit Pistons,Connecticut,2012,1,9,9,Andre Drummond,Andre Drummond_2012
Austin Rivers,New Orleans Hornets,Duke,2012,1,10,10,Austin Rivers,Austin Rivers_2012
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11,11,Meyers Leonard,Meyers Leonard_2012
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12,12,Jeremy Lamb,Jeremy Lamb_2012
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13,13,Kendall Marshall,Kendall Marshall_2012
John Henson,Milwaukee Bucks,North Carolina,2012,1,14,14,John Henson,John Henson_2012
Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15,15,Maurice Harkless,Maurice Harkless_2012
Royce White,Houston Rockets,Iowa State,2012,1,16,16,Royce White,Royce White_2012
Tyler Zeller,Dallas Mavericks,North Carolina,2012,1,17,17,Tyler Zeller,Tyler Zeller_2012
Terrence Jones,Houston Rockets,Kentucky,2012,1,18,18,Terrence Jones,Terrence Jones_2012
Andrew Nicholson,Orlando Magic,St. Bonaventure,2012,1,19,19,Andrew Nicholson,Andrew Nicholson_2012
Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20,Evan Fournier,Evan Fournier_2012
Jared Sullinger,Boston Celtics,Ohio State,2012,1,21,21,Jared Sullinger,Jared Sullinger_2012
Fab Melo,Boston Celtics,Syracuse,2012,1,22,22,Fab Melo,Fab Melo_2012
John Jenkins,Atlanta Hawks,Vanderbilt,2012,1,23,23,John Jenkins,John Jenkins_2012
Jared Cunningham,Cleveland Cavaliers,Oregon State,2012,1,24,24,Jared Cunningham,Jared Cunningham_2012
Tony Wroten,Memphis Grizzlies,Washington,2012,1,25,25,Tony Wroten,Tony Wroten_2012
Miles Plumlee,Indiana Pacers,Duke,2012,1,26,26,Miles Plumlee,Miles Plumlee_2012
Arnett Moultrie,Miami Heat,Mississippi State,2012,1,27,27,Arnett Moultrie,Arnett Moultrie_2012
Perry Jones III,Oklahoma City Thunder,Baylor,2012,1,28,28,Perry Jones Iii,Perry Jones Iii_2012
Marquis Teague,Chicago Bulls,Kentucky,2012,1,29,29,Marquis Teague,Marquis Teague_2012
Festus Ezeli,Golden State Warriors,Vanderbilt,2012,1,30,30,Festus Ezeli,Festus Ezeli_2012
Jeffery Taylor,Charlotte Bobcats,Vanderbilt,2012,2,1,31,Jeffery Taylor,Jeffery Taylor_2012
Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32,Tomas Satoransky,Tomas Satoransky_2012
Bernard James,Cleveland Cavaliers,Florida State,2012,2,3,33,Bernard James,Bernard James_2012
Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34,Jae Crowder,Jae Crowder_2012
Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35,Draymond Green,Draymond Green_2012
Orlando Johnson,Sacramento Kings,California-Santa Barbara,2012,2,6,36,Orlando Johnson,Orlando Johnson_2012
Quincy Acy,Toronto Raptors,Baylor,2012,2,7,37,Quincy Acy,Quincy Acy_2012
Quincy Miller,Denver Nuggets,Baylor,2012,2,8,38,Quincy Miller,Quincy Miller_2012
Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39,Khris Middleton,Khris Middleton_2012
Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40,Will Barton,Will Barton_2012
Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11,41,Tyshawn Taylor,Tyshawn Taylor_2012
Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12,42,Doron Lamb,Doron Lamb_2012
Mike Scott,Atlanta Hawks,Virginia,2012,2,13,43,Mike Scott,Mike Scott_2012
Kim English,Detroit Pistons,Missouri,2012,2,14,44,Kim English,Kim English_2012
Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15,45,Justin Hamilton,Justin Hamilton_2012
Darius Miller,New Orleans Hornets,Kentucky,2012,2,16,46,Darius Miller,Darius Miller_2012
Kevin Murphy,Utah Jazz,Tennessee Tech,2012,2,17,47,Kevin Murphy,Kevin Murphy_2012
Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18,48,Kostas Papanikolaou,Kostas Papanikolaou_2012
Kyle O'Quinn,Orlando Magic,Norfolk State,2012,2,19,49,Kyle O'Quinn,Kyle O'Quinn_2012
Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20,50,Izzet Turkyilmaz,Izzet Turkyilmaz_2012
