player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key
Justin James,Sacramento Kings,Wyoming,2019,2,10,40,Justin James,Justin James_2019
Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41,Eric Paschall,Eric Paschall_2019
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12,42,Admiral Schofield,Admiral Schofield_2019
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43,Jaylen Nowell,Jaylen Nowell_2019
Bol Bol,Miami Heat,Oregon,2019,2,14,44,Bol Bol,Bol Bol_2019
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45,Isaiah Roby,Isaiah Roby_2019
Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46,Talen Horton-Tucker,Talen Horton-Tucker_2019
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47,Ignas Brazdeikis,Ignas Brazdeikis_2019
Terance Mann,LA Clippers,Florida State,2019,2,18,48,Terance Mann,Terance Mann_2019
Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19,49,Quinndary Weatherspoon,Quinndary Weatherspoon_2019
Jarrell Brantley,Indiana Pacers,College of Charleston,2019,2,20,50,Jarrell Brantley,Jarrell Brantley_2019
Tremont Waters,Boston Celtics,Louisiana State,2019,2,21,51,Tremont Waters,Tremont Waters_2019
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22,52,Jalen McDaniels,Jalen McDaniels_2019
Justin Wright-Foreman,Utah Jazz,Hofstra,2019,2,23,53,Justin Wright-Foreman,Justin Wright-Foreman_2019
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24,54,Marial Shayok,Marial Shayok_2019
Kyle Guy,New York Knicks,Virginia,2019,2,25,55,Kyle Guy,Kyle Guy_2019
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56,Jaylen Hands,Jaylen Hands_2019
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27,57,Jordan Bone,Jordan Bone_2019
Miye Oni,Golden State Warriors,Yale,2019,2,28,58,Miye Oni,Miye Oni_2019
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29,59,Dewan Hernandez,Dewan Hernandez_2019
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60,Vanja Marinkovic,Vanja Marinkovic_2019
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1,Deandre Ayton,Deandre Ayton_2018
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2,Marvin Bagley Iii,Marvin Bagley Iii_2018
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3,Luka Doncic,Luka Doncic_2018
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4,Jaren Jackson Jr,Jaren Jackson Jr_2018
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5,Trae Young,Trae Young_2018
Mo Bamba,Orlando Magic,Texas,2018,1,6,6,Mo Bamba,Mo Bamba_2018
Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7,Wendell Carter Jr,Wendell Carter Jr_2018
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8,Collin Sexton,Collin Sexton_2018
Kevin Knox II,New York Knicks,Kentucky,2018,1,9,9,Kevin Knox Ii,Kevin Knox Ii_2018
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10,Mikal Bridges,Mikal Bridges_2018
