player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Cody Stetler,2014,2017,4,90,3.21,4,False
Craig Sealey,2011,2014,4,93,3.21,4,False
Jacquez Rozier,2012,2015,4,95,3.21,4,False
Marcus Heemstra,2011,2014,4,108,3.21,4,False
Michael Starks,2010,2013,4,108,3.21,4,False
Ryan Winters,2012,2015,4,79,3.21,4,False
Skye Johnson,2015,2018,4,88,3.21,4,False
Chase Harler,2017,2020,4,116,3.2,4,False
Damion Moore,2017,2020,4,89,3.2,4,False
Kameron Rooks,2014,2018,4,110,3.2,5,False
Kelvin Penn,2012,2015,4,114,3.19,4,False
Reed Nikko,2017,2020,4,122,3.19,4,False
Simon McCormack,2009,2012,4,98,3.19,4,False
Terrell Barnes,2010,2013,4,112,3.19,4,False
Aaron Rountree,2013,2016,4,120,3.18,4,False
Henry Baddley,2017,2020,4,117,3.18,4,False
Mohamed Bendary,2016,2019,4,122,3.18,4,False
Giacomo Zilli,2014,2017,4,73,3.17,4,False
Jorden Kite,2016,2019,4,69,3.17,4,False
Alex Tiffin,2011,2015,4,116,3.16,5,False
Alvin Ellis Iii,2014,2017,4,136,3.16,4,False
Brison Gresham,2017,2021,4,127,3.16,5,False
Dominique Dunning,2012,2016,4,106,3.16,5,False
Georgi Funtarov,2014,2017,4,47,3.16,4,False
Gus Leeper,2011,2015,4,109,3.16,5,False
John Peckinpaugh,2009,2012,4,104,3.16,4,False
Danny Carter,2009,2012,4,113,3.15,4,False
Dillon Avare,2015,2018,4,72,3.15,4,False
Jon Pack,2009,2012,4,98,3.15,4,False
Mohamed Bah,2014,2017,4,102,3.15,4,False
Deng Riak,2016,2020,4,98,3.14,5,False
Dwight Smith,2011,2015,4,73,3.14,5,False
Jeremy Campbell,2011,2014,4,71,3.14,4,False
Kenny Hall,2010,2013,4,124,3.14,4,False
Ryan Gomes,2017,2021,4,111,3.14,5,False
Ferrakohn Hall,2010,2013,4,95,3.13,4,False
Grant Fiorentinos,2012,2016,4,79,3.13,5,False
Joel Davis,2016,2019,4,85,3.13,4,False
Kadeem Smithen,2015,2019,4,119,3.13,5,False
Michael Douglas,2016,2019,4,110,3.13,4,False
Austin Davis,2018,2021,4,87,3.12,4,False
Rj Curington,2014,2017,4,83,3.12,4,False
Stefan Cvrkalj,2012,2015,4,106,3.12,4,False
Aaron Robinson,2016,2020,4,92,3.11,5,False
Ikenna Smart,2016,2019,4,117,3.11,4,False
Jack Salt,2016,2019,4,127,3.11,4,False
Jarriesse Blackmon,2016,2019,4,93,3.11,4,False
Tyler Thornton,2011,2014,4,139,3.11,4,False
Anali Okoloji,2011,2015,4,97,3.1,5,False
Chris Harris Jr,2018,2021,4,79,3.1,4,False
Jordan Goldwire,2018,2021,4,116,3.1,4,False
Nolan Gerrity,2016,2019,4,100,3.1,4,False
Derrick Wilson,2012,2015,4,132,3.09,4,False
Greg Robbins,2010,2013,4,105,3.09,4,False
Javin Delaurier,2017,2020,4,114,3.08,4,False
John McArthur,2011,2014,4,121,3.08,4,False
Nate Zastrow,2010,2013,4,99,3.08,4,False
Alex Dragicevich,2011,2015,4,92,3.07,5,False
Chad Adams,2010,2013,4,127,3.07,4,False
Julius Van Sauers,2016,2019,4,101,3.06,4,False
Laquarious Paige,2015,2019,4,73,3.06,5,False
Cedrick Alley Jr,2018,2021,4,82,3.05,4,False
Dustin Dibble,2009,2012,4,105,3.05,4,False
Scott King,2013,2016,4,108,3.05,4,False
Tomas Bruha,2010,2014,4,80,3.04,5,False
Bourama Sidibe,2018,2021,4,93,3.03,4,False
Cory Remekun,2010,2013,4,130,3.03,4,False
Malek Harwell,2017,2020,4,77,3.03,4,False
Tommy Pereira,2011,2014,4,106,3.03,4,False
Jordan Railey,2011,2015,4,99,3.02,5,False
Patrick Robinson,2011,2014,4,115,3.02,4,False
Phillip Williams,2009,2013,4,120,3.02,5,False
Alwayne Bigby,2010,2013,4,99,3.01,4,False
Bo Holston,2009,2012,4,66,3.01,4,False
John Daniels,2010,2013,4,93,3.01,4,False
Jojo Fallas,2014,2017,4,96,3.01,4,False
Jordon Granger,2013,2016,4,108,3.01,4,False
Scott Meredith,2016,2020,4,87,3.01,5,False
Jacob Cushing,2017,2020,4,89,3.0,4,False
John Ryan,2011,2015,4,94,3.0,5,False
Kyle Ahrens,2016,2020,4,117,3.0,5,False
Adam Sledd,2017,2020,4,102,2.99,4,False
Finis Craddock,2010,2013,4,110,2.99,4,False
Jaleel Roberts,2012,2015,4,80,2.99,4,False
Lance Whitaker,2014,2017,4,65,2.99,4,False
Mo Williams,2012,2015,4,114,2.99,4,False
Yaradyah Evans,2018,2021,4,91,2.99,4,False
Chibueze Jacobs,2017,2020,4,109,2.98,4,False
Delovell Earls,2012,2015,4,88,2.98,4,False
Derrico Peck,2013,2017,4,111,2.98,5,False
Dom Uhl,2015,2018,4,114,2.98,4,False
Joshua Phillips,2014,2018,4,84,2.98,5,False
Marshall Plumlee,2013,2016,4,124,2.98,4,False
Prince Ibeh,2013,2016,4,134,2.98,4,False
Rogers Printup,2016,2020,4,86,2.98,5,False
Alexis Wangmene,2009,2012,4,99,2.97,4,False
Drew Parker,2011,2014,4,120,2.97,4,False
Eric Johnson,2015,2018,4,88,2.97,4,False
Tanveer Bhullar,2015,2018,4,85,2.97,4,False
Kaylin Johnson,2009,2012,4,82,2.96,4,False
Steve Rennard,2011,2014,4,76,2.96,4,False
Evan Cummins,2013,2016,4,81,2.95,4,False
Khari Harley,2015,2018,4,52,2.95,4,False
Thomas Smallwood,2016,2019,4,62,2.95,4,False
Tyler Storm,2009,2012,4,103,2.95,4,False
Bennett Holley,2016,2019,4,103,2.94,4,False
Milos Jovic,2017,2021,4,102,2.94,5,False
Bruno Skokna,2017,2020,4,119,2.93,4,False
Emerson Murray,2011,2015,4,103,2.93,5,False
Gerron Scissum,2016,2020,4,63,2.93,5,False
Jordan Lewis,2009,2012,4,96,2.93,4,False
Jose Morales,2017,2020,4,77,2.93,4,False
Kevin Stineman,2009,2012,4,90,2.93,4,False
Mickey Mitchell,2016,2020,4,76,2.93,5,False
Sherrod Baldwin,2009,2013,4,97,2.93,5,False
Tyler Olander,2011,2014,4,135,2.93,4,False
Tj Shipes,2013,2016,4,106,2.92,4,False
Danny Dixon,2016,2020,4,81,2.91,5,False
Zach Horstman,2012,2015,4,98,2.91,4,False
Isaiah Nichols,2017,2020,4,85,2.9,4,False
Joe Latas,2009,2012,4,95,2.9,4,False
John Adams,2009,2012,4,98,2.9,4,False
Johnny Wang,2018,2021,4,83,2.9,4,False
Josh Figini,2010,2013,4,85,2.9,4,False
Tyrone O'Garro,2013,2017,4,103,2.9,5,False
Chase Stigall,2010,2013,4,122,2.89,4,False
Justin Leemow,2009,2012,4,84,2.89,4,False
Steven Danridge,2011,2014,4,109,2.89,4,False
Aleer Leek,2016,2019,4,110,2.88,4,False
Francisco Amiel,2016,2019,4,126,2.87,4,False
Nehemiah Mack,2018,2021,4,106,2.87,4,False
Tyler Wilson,2014,2017,4,129,2.87,4,False
Uros Ljeskovic,2013,2016,4,77,2.87,4,False
Brandon Baker,2010,2013,4,128,2.86,4,False
George Matthews,2012,2016,4,47,2.86,5,False
Laron Smith,2013,2017,4,75,2.86,5,False
Vaughn Gray,2012,2015,4,94,2.86,4,False
Eddie Ludwig,2010,2013,4,100,2.85,4,False
Isaac Belton,2014,2017,4,88,2.85,4,False
Isaiah Dennis,2014,2017,4,85,2.85,4,False
Nick Davis,2014,2018,4,77,2.85,5,False
Sam Timmins,2017,2020,4,132,2.85,4,False
Ashley Williams,2015,2018,4,70,2.84,4,False
Brendon Myles,2017,2020,4,87,2.84,4,False
Eddie Odio,2012,2015,4,116,2.84,4,False
Greg Lewis,2012,2016,4,111,2.84,5,False
Matt Balkema,2010,2013,4,100,2.84,4,False
Ryan Canty,2012,2016,4,101,2.84,5,False
Cameron Miles,2010,2013,4,106,2.83,4,False
James Claar,2016,2020,4,71,2.83,5,False
Quentin Scott,2018,2021,4,95,2.83,4,False
Shaun Johnson,2013,2016,4,93,2.82,4,False
John Ogwuche,2017,2020,4,56,2.81,4,False
Pj Hubert,2011,2014,4,63,2.81,4,False
Seth Adelsperger,2017,2020,4,121,2.81,4,False
Zavier Sanders,2009,2012,4,89,2.81,4,False
Glenn Feidanga,2014,2017,4,90,2.8,4,False
Kyle Clark,2016,2019,4,78,2.8,4,False
Tyler Koch,2010,2014,4,78,2.8,5,False
Felix Balamou,2013,2016,4,79,2.79,4,False
Freddie Wilson,2012,2015,4,88,2.79,4,False
Justin Banks,2011,2014,4,85,2.79,4,False
Khalid Nwandu,2014,2017,4,120,2.79,4,False
Ahman Fells,2012,2015,4,82,2.78,4,False
Alex Thomas,2016,2019,4,115,2.78,4,False
Booker Hucks,2010,2013,4,107,2.78,4,False
Brian Thomas,2018,2021,4,65,2.78,4,False
Eric Norman,2012,2015,4,80,2.78,4,False
Haralds Karlis,2012,2015,4,120,2.78,4,False
J'Mison Morgan,2009,2013,4,71,2.78,5,False
Dragan Sekelja,2010,2014,4,72,2.77,5,False
Brice Kofane,2012,2015,4,111,2.75,4,False
Yannick Atanga,2012,2015,4,97,2.75,4,False
Alex Ramon,2013,2016,4,82,2.74,4,False
Maverick Ahanmisi,2011,2014,4,126,2.74,4,False
Nikola Djogo,2018,2021,4,101,2.74,4,False
Sabatino Chen,2009,2013,4,126,2.74,5,False
Aaron Weidenaar,2017,2020,4,106,2.73,4,False
Brandan Kearney,2012,2015,4,96,2.73,4,False
Jeff Pelage,2009,2012,4,116,2.73,4,False
Julian Royal,2012,2016,4,79,2.73,5,False
Papa Ndao,2012,2016,4,115,2.73,5,False
Matt Labove,2010,2013,4,104,2.72,4,False
Rusty Reigel,2015,2018,4,105,2.72,4,False
Auraum Nuiriankh,2011,2014,4,95,2.71,4,False
Chad Lang,2012,2015,4,85,2.71,4,False
Christian Benzon,2014,2017,4,108,2.71,4,False
Devince Boykins,2013,2016,4,109,2.71,4,False
Nolan Narain,2017,2020,4,74,2.71,4,False
Collin Goss,2016,2020,4,94,2.7,5,False
Jerome Clyburn,2009,2013,4,45,2.7,5,False
Michael Bizoukas,2009,2012,4,112,2.7,4,False
Sylvester Ogbonda,2017,2020,4,71,2.7,4,False
Ezra Talbert,2015,2018,4,89,2.69,4,False
Matt Fox,2015,2018,4,91,2.69,4,False
Tevin Findlay,2014,2017,4,99,2.69,4,False
Andrew Platek,2018,2021,4,127,2.68,4,False
Davide Curletti,2009,2012,4,108,2.68,4,False
Derek Webster Jr,2018,2021,4,94,2.68,4,False
Eric Truog,2013,2016,4,98,2.68,4,False
Sandi Marcius,2011,2014,4,108,2.68,4,False
Evan Hinson,2017,2020,4,77,2.67,4,False
Maurice Sutton,2010,2013,4,108,2.67,4,False
Femi Akinpetide,2009,2013,4,90,2.66,5,False
Isiah Jasey,2018,2021,4,57,2.66,4,False
Luke Piotrowski,2013,2016,4,82,2.66,4,False
Trey Pinkney,2013,2016,4,122,2.65,4,False
Trinity Fields,2009,2012,4,112,2.65,4,False
Bailey Patella,2018,2021,4,80,2.64,4,False
Gus Riley,2015,2018,4,87,2.64,4,False
Liam McInerney,2010,2013,4,114,2.64,4,False
Malick Kone,2012,2015,4,98,2.64,4,False
Rod Days,2012,2016,4,95,2.64,5,False
Ty Walker,2009,2012,4,71,2.64,4,False
Adonis Rwabigwi,2014,2018,4,99,2.63,5,False
Blake McLimans,2011,2014,4,71,2.63,4,False
Jamar Brown,2017,2021,4,33,2.63,5,False
Mitch Lightfoot,2017,2021,4,127,2.63,5,False
Stafford Trueheart,2018,2021,4,91,2.63,4,False
Marquel McKinney,2012,2015,4,113,2.62,4,False
Michael Benkert,2017,2020,4,116,2.62,4,False
Ricky Council Ii,2016,2020,4,77,2.62,5,False
Seventh Woods,2017,2021,4,111,2.62,5,False
Bakary Konate,2015,2018,4,116,2.61,4,False
Dee Goens,2010,2013,4,110,2.61,4,False
Jake Flaggert,2014,2018,4,118,2.61,5,False
Jake Giesler,2012,2016,4,100,2.61,5,False
Ben Crenca,2010,2013,4,100,2.6,4,False
Brion Sanchious,2016,2019,4,108,2.6,4,False
Chris Henson,2009,2012,4,75,2.6,4,False
Mamoudou Diarra,2018,2021,4,70,2.6,4,False
Josh Duinker,2009,2012,4,120,2.59,4,False
Mike Latulip,2013,2017,4,72,2.59,5,False
Mitch Wilmer,2010,2013,4,81,2.59,4,False
Tommy McCarthy,2016,2020,4,59,2.59,5,False
Andrew McAuliffe,2014,2017,4,117,2.58,4,False
Chris Matagrano,2010,2013,4,90,2.58,4,False
Christian Sanders,2013,2017,4,117,2.58,5,False
Kenyatta Smith,2012,2015,4,56,2.58,4,False
Marvin Singleton,2012,2015,4,92,2.58,4,False
Odera Nweke,2012,2015,4,79,2.58,4,False
Tre Clark,2017,2021,4,97,2.58,5,False
Erik Swoope,2011,2014,4,110,2.57,4,False
Ivan Bender,2016,2019,4,78,2.57,4,False
Karl Madison,2012,2016,4,116,2.57,5,False
Luka Kamber,2014,2017,4,71,2.57,4,False
Nate Jones,2016,2019,4,115,2.57,4,False
Petey McClain,2013,2016,4,118,2.57,4,False
Arnold Mayorga,2009,2012,4,115,2.56,4,False
Jakolby Long,2017,2021,4,68,2.56,5,False
Kentrall Brooks,2014,2017,4,111,2.56,4,False
Kevin Cantinol,2009,2012,4,74,2.56,4,False
Myles Hutchinson,2018,2021,4,54,2.56,4,False
Kofi Andoh,2014,2017,4,103,2.55,4,False
Lourawls Nairn Jr,2015,2018,4,137,2.55,4,False
Zach Gordon,2013,2017,4,116,2.55,5,False
Darrius Garrett,2009,2012,4,115,2.54,4,False
Kyle Green,2010,2013,4,51,2.54,4,False
Logan Power,2016,2019,4,61,2.54,4,False
Reggie Theus Jr,2014,2018,4,79,2.54,5,False
Brandon Hayman,2012,2015,4,90,2.53,4,False
Jack White,2017,2020,4,103,2.52,4,False
Jairus Simms,2010,2013,4,109,2.52,4,False
Nate Hicks,2011,2015,4,110,2.52,5,False
Aaron Carver,2017,2020,4,125,2.51,4,False
Baye Moussa Keita,2011,2014,4,141,2.51,4,False
Cameron Monroe,2012,2015,4,113,2.51,4,False
Jordan Springer,2010,2013,4,104,2.51,4,False
Oliver Ellison,2012,2016,4,94,2.5,5,False
Amar Alibegovic,2015,2018,4,107,2.49,4,False
Lucas Eitel,2011,2014,4,115,2.49,4,False
Osinachi Smart,2018,2021,4,77,2.49,4,False
Tashan Fredrick,2010,2013,4,94,2.49,4,False
Djery Baptiste,2017,2020,4,111,2.48,4,False
Ivan Lukic,2014,2017,4,88,2.48,4,False
Mac Hoffman,2014,2017,4,84,2.48,4,False
Patrick Jackson,2009,2013,4,93,2.48,5,False
Aaron Scales,2013,2017,4,95,2.47,5,False
Jakub Petras,2015,2018,4,108,2.47,4,False
Julius Brooks,2010,2013,4,107,2.47,4,False
Kirk Crecco,2009,2012,4,88,2.47,4,False
Luke Worthington,2014,2019,4,128,2.47,6,False
Jj Richardson,2010,2014,4,88,2.46,5,False
Chance Garvin,2018,2021,4,56,2.45,4,False
Darryl Reynolds,2014,2017,4,119,2.45,4,False
Riley Grafft,2009,2012,4,73,2.45,4,False
Vincent Williams,2010,2013,4,115,2.45,4,False
Greg McClinton,2015,2018,4,87,2.44,4,False
James Suber,2015,2019,4,80,2.44,5,False
Kevin Noreen,2011,2014,4,94,2.43,4,False
James Loupos,2011,2014,4,113,2.42,4,False
Jaylon Tate,2014,2017,4,120,2.42,4,False
Josh Coleman,2016,2019,4,88,2.42,4,False
Lance Stokes,2012,2015,4,99,2.41,4,False
Dj Haley,2011,2014,4,132,2.4,4,False
Javon Ralling,2010,2013,4,71,2.4,4,False
Shane Reybold,2011,2014,4,79,2.4,4,False
Strahinja Gavrilovic,2013,2016,4,79,2.4,4,False
Tavario Miller,2014,2017,4,123,2.4,4,False
Alex Peters,2015,2018,4,101,2.39,4,False
Brandon Cataldo,2012,2015,4,77,2.39,4,False
Lowell Ulmer,2012,2015,4,99,2.39,4,False
Lukas Poderis,2010,2014,4,117,2.39,5,False
Nathan Harries,2014,2017,4,43,2.39,4,False
Sammy Schickel,2009,2012,4,78,2.39,4,False
Alex Foster,2014,2018,4,97,2.38,5,False
Coye Simmons,2015,2018,4,104,2.38,4,False
Roman Sorkin,2015,2018,4,72,2.38,4,False
Ryan Regis,2009,2012,4,107,2.38,4,False
Wyatt Wilkes,2018,2021,4,74,2.38,4,False
Alex Bran,2013,2016,4,65,2.37,4,False
Dontaveon Robinson,2014,2017,4,122,2.37,4,False
Jl Lewis,2010,2013,4,118,2.37,4,False
Brandon Watkins,2014,2017,4,114,2.36,4,False
Daniel Meyer,2015,2018,4,106,2.36,4,False
Derrick Brooks,2015,2018,4,106,2.36,4,False
Taylor Abt,2012,2015,4,112,2.36,4,False
Justin McKie,2014,2017,4,103,2.35,4,False
Philipp Hartwich,2015,2018,4,109,2.35,4,False
Austin Carroll,2011,2014,4,83,2.34,4,False
Austin Thornton,2009,2012,4,130,2.34,4,False
Tyler Hadden,2015,2018,4,106,2.34,4,False
Andrew Rogers,2009,2012,4,112,2.33,4,False
Brandon Houston,2018,2021,4,80,2.33,4,False
Jeff Powers,2011,2014,4,75,2.33,4,False
Alex Olesinski,2016,2020,4,98,2.32,5,False
Jared Klein,2013,2016,4,99,2.32,4,False
Lane Severyn,2015,2018,4,102,2.32,4,False
Brett Boese,2013,2016,4,93,2.31,4,False
Trey Thompson,2015,2018,4,114,2.31,4,False
Davante Drinkard,2011,2014,4,106,2.3,4,False
Elias Desport,2013,2016,4,120,2.3,4,False
Fred Iruafemi,2015,2018,4,108,2.3,4,False
Kameron Mitchell,2014,2017,4,105,2.3,4,False
Simi Fajemisin,2012,2015,4,124,2.3,4,False
Zach Jones,2010,2013,4,74,2.3,4,False
Chalmers Rogers,2009,2012,4,121,2.29,4,False
David Wishon,2012,2016,4,79,2.29,5,False
Ebube Ebube,2018,2021,4,72,2.29,4,False
Pierre Sneed,2009,2012,4,98,2.29,4,False
Ralph Hill,2011,2015,4,85,2.29,5,False
Hannes Polla,2018,2021,4,68,2.28,4,False
Robin Jorch,2016,2020,4,107,2.28,5,False
Henry Welsh,2017,2020,4,74,2.26,4,False
Hunter Crist,2018,2021,4,95,2.26,4,False
Jakub Kusmieruk,2009,2013,4,71,2.26,5,False
Matt Zignorski,2016,2019,4,109,2.26,4,False
Alex Wolf,2009,2015,4,71,2.25,7,False
Chris Toler,2009,2012,4,111,2.25,4,False
Cory Starkey,2012,2015,4,60,2.25,4,False
Pete Rakocevic,2011,2015,4,81,2.25,5,False
Precious Ayah,2018,2021,4,86,2.25,4,False
Raymond Gregory,2010,2013,4,91,2.25,4,False
Tyler McCullough,2014,2017,4,103,2.25,4,False
Dominique Hawkins,2014,2017,4,121,2.24,4,False
Eric Hutchison,2011,2014,4,96,2.24,4,False
Gabe Osabuohien,2018,2021,4,111,2.24,4,False
Greg Senat,2014,2017,4,99,2.24,4,False
Michael Onyebalu,2015,2018,4,64,2.23,4,False
Rudy Stradnieks,2016,2019,4,106,2.23,4,False
Stephen O'Suji,2015,2019,4,50,2.23,5,False
Bryan Narcisse,2009,2012,4,102,2.22,4,False
Jaron Withers,2015,2018,4,112,2.22,4,False
Wadly Mompremier,2014,2018,4,84,2.22,5,False
Dustin Hobaugh,2012,2016,4,82,2.21,5,False
Jodan Price,2013,2017,4,77,2.21,5,False
Austin Colbert,2014,2019,4,78,2.2,6,False
Cj Davis,2015,2019,4,77,2.2,5,False
Keith Davis,2011,2015,4,96,2.2,5,False
Matt Hein,2017,2020,4,89,2.2,4,False
Taavi Jurkatamm,2018,2021,4,103,2.2,4,False
Brian Greene Jr,2013,2017,4,90,2.19,5,False
Gabriel Harris,2010,2013,4,87,2.19,4,False
Jamie Schneck,2012,2015,4,115,2.19,4,False
Myles Tate,2015,2021,4,59,2.19,7,False
Taylor Perry,2013,2016,4,125,2.19,4,False
George Davis,2009,2015,4,71,2.18,7,False
Tim Diederichs,2009,2012,4,70,2.18,4,False
Aerris Smith,2011,2014,4,101,2.17,4,False
Chris McComber,2014,2017,4,74,2.17,4,False
Davis Rozitis,2010,2014,4,93,2.17,5,False
Tommy Carpenter,2013,2016,4,89,2.17,4,False
Armel Tete,2017,2020,4,80,2.16,4,False
Grady Eifert,2016,2019,4,99,2.16,4,False
James Keefe,2009,2021,4,108,2.16,13,False
Jon'Te Dotson,2014,2017,4,60,2.16,4,False
Shawn Stockton,2009,2012,4,94,2.16,4,False
Trent Rogers,2009,2012,4,106,2.16,4,False
Zach Chionuma,2012,2016,4,80,2.16,5,False
Dylan Miller,2014,2018,4,83,2.15,5,False
Joel James,2013,2016,4,134,2.15,4,False
Jordan Foster,2013,2019,4,98,2.15,7,False
Julian Harris,2015,2018,4,88,2.15,4,False
Karolis Kundrotas,2016,2019,4,103,2.15,4,False
Tyler Hamilton,2016,2020,4,79,2.15,5,False
Dionte Adams,2013,2016,4,87,2.14,4,False
Trey Mourning,2015,2019,4,62,2.14,5,False
Zach McRoberts,2015,2019,4,112,2.14,5,False
Alec Brennan,2015,2018,4,99,2.13,4,False
Erik Nakken,2015,2018,4,101,2.13,4,False
Javon Baumann,2014,2017,4,99,2.13,4,False
Matthew Moss,2013,2016,4,80,2.13,4,False
Rayshawn Miller,2016,2019,4,72,2.13,4,False
Steve Egee,2009,2012,4,79,2.13,4,False
Brenden Morris,2017,2020,4,15,2.12,4,False
Donovan Theme-Love,2017,2020,4,109,2.12,4,False
Duje Dukan,2011,2015,4,97,2.12,5,False
Kikko Haydar,2011,2014,4,94,2.12,4,False
Markell Lodge,2016,2019,4,82,2.12,4,False
Alex Ogundadegbe,2011,2014,4,108,2.11,4,False
Chandler Rowe,2014,2017,4,121,2.11,4,False
Chuck Ogbodo,2014,2017,4,89,2.11,4,False
Keon Burns,2015,2018,4,78,2.11,4,False
Kevin Alter,2012,2015,4,76,2.11,4,False
Catalin Baciu,2009,2012,4,75,2.1,4,False
Matz Stockman,2015,2019,4,72,2.1,5,False
Will Johnston,2012,2015,4,88,2.1,4,False
Conroy Baltimore,2012,2015,4,67,2.09,4,False
Jordan Dallas,2017,2020,4,75,2.09,4,False
Shaquille Doorson,2015,2019,4,119,2.09,5,False
Valentine Izundu,2013,2017,4,75,2.09,5,False
Taylor McHugh,2016,2019,4,93,2.08,4,False
Tom Koopman,2014,2017,4,103,2.08,4,False
Wesley Dickinson,2014,2017,4,97,2.08,4,False
Derrick Randall,2012,2015,4,119,2.07,4,False
Eric Waterford,2009,2012,4,76,2.07,4,False
Maxwell Kupchak,2016,2019,4,91,2.07,4,False
Andrew Osemhen,2011,2014,4,111,2.06,4,False
Anthony Ochefu,2018,2021,4,87,2.06,4,False
Artavious McDyess,2017,2020,4,90,2.06,4,False
Zach Bohannon,2010,2014,4,69,2.06,5,False
Austin Rogers,2017,2020,4,77,2.05,4,False
Ludovic Ndaye,2011,2014,4,90,2.05,4,False
Omari Lawrence,2010,2014,4,97,2.05,5,False
Ryan Hill,2011,2014,4,122,2.04,4,False
Andrew Van Nest,2010,2013,4,62,2.03,4,False
Josh Hairston,2011,2014,4,121,2.03,4,False
Roger Dugas,2010,2013,4,57,2.03,4,False
Enoch Andoh,2009,2012,4,86,2.02,4,False
Josh Sharp,2012,2015,4,109,2.02,4,False
Kye De Laveaga,2015,2018,4,57,2.02,4,False
Kyle Rowley,2009,2013,4,111,2.02,5,False
Matt O'Reilly,2016,2019,4,66,2.02,4,False
Rohan Brown,2013,2016,4,110,2.01,4,False
Tony Peters,2010,2013,4,101,2.01,4,False
Lazaro Rojas,2018,2021,4,50,2.0,4,False
Daniel Richard,2009,2012,4,90,1.99,4,False
Matt Killian,2013,2016,4,84,1.99,4,False
Brendan Casper,2014,2017,4,73,1.98,4,False
Garrett Collins,2015,2018,4,63,1.98,4,False
Terrance O'Donohue,2014,2017,4,84,1.98,4,False
Weisner Perez,2016,2019,4,52,1.98,4,False
Brady Ernst,2016,2020,4,73,1.97,5,False
Jiday Ugbaja,2015,2018,4,59,1.97,4,False
Phillip Nolan,2013,2016,4,129,1.97,4,False
Ron Giplaye,2011,2015,4,62,1.97,5,False
Alan Vest,2016,2019,4,84,1.96,4,False
James Hajek,2012,2015,4,82,1.96,4,False
Svetoslav Chetinov,2009,2012,4,47,1.96,4,False
Brandon Hall,2009,2012,4,120,1.95,4,False
Fred Ellis,2009,2012,4,95,1.95,4,False
Tre' Ivory,2015,2018,4,106,1.95,4,False
Leon Tolksdorf,2013,2017,4,60,1.94,5,False
Matthew Friday,2009,2012,4,97,1.94,4,False
Austin Karrer,2015,2018,4,111,1.93,4,False
Connor McClenaghan,2015,2018,4,97,1.93,4,False
Jesse Pritchard,2011,2014,4,96,1.93,4,False
Justin Williams,2017,2020,4,78,1.93,4,False
Matt Heldt,2016,2019,4,112,1.93,4,False
Anthony Fields,2012,2016,4,97,1.92,5,False
Ben Grace,2014,2017,4,67,1.92,4,False
Jerron Martin,2014,2018,4,36,1.92,5,False
Spencer Turner,2012,2015,4,76,1.92,4,False
Jordan McKenzie,2018,2021,4,111,1.91,4,False
E'Torrion Wilridge,2016,2019,4,119,1.9,4,False
Koang Doluony,2010,2013,4,70,1.9,4,False
Miles Asafo-Adjei,2010,2013,4,88,1.9,4,False
Samuel Dingba,2015,2019,4,92,1.9,5,False
Cheickna Dembele,2017,2020,4,79,1.89,4,False
Omar El Manasterly,2014,2017,4,82,1.89,4,False
Oren Faulk,2011,2014,4,102,1.89,4,False
Jack Hill,2009,2012,4,84,1.87,4,False
Joe Kuligoski,2014,2017,4,84,1.87,4,False
Justin Maneri,2009,2012,4,88,1.86,4,False
Kyle Kager,2012,2015,4,63,1.86,4,False
Sean McCarthy,2010,2013,4,67,1.86,4,False
Tyshawn Myles,2015,2018,4,94,1.86,4,False
Abiola Akintola,2016,2019,4,85,1.85,4,False
Christian Behrens,2012,2015,4,70,1.85,4,False
Christian David,2018,2021,4,84,1.85,4,False
James Hemphill,2014,2017,4,70,1.85,4,False
Kevin Morris,2017,2020,4,100,1.85,4,False
Andrew Brommer,2009,2012,4,103,1.84,4,False
Stetson Billings,2013,2017,4,106,1.84,5,False
Auston Evans,2016,2019,4,71,1.83,4,False
Elbert Robinson Iii,2015,2019,4,89,1.83,5,False
John Cannon,2012,2016,4,76,1.83,5,False
Jordan Dickerson,2013,2016,4,113,1.83,4,False
Justin Newton,2009,2012,4,117,1.83,4,False
Juwan Henderson,2015,2018,4,45,1.83,4,False
Keaton Miles,2012,2016,4,109,1.83,5,False
Chris Sullivan,2016,2019,4,100,1.82,4,False
Jalen Brown,2015,2021,4,62,1.82,7,False
Korey Thieleke,2011,2014,4,79,1.82,4,False
Malcolm Allen,2014,2018,4,55,1.82,5,False
Scott Mammel,2014,2017,4,67,1.82,4,False
David Bottenberg,2017,2020,4,100,1.81,4,False
Myles Franklin,2017,2020,4,90,1.81,4,False
Austin Sparks,2015,2018,4,84,1.8,4,False
Luke Davis,2011,2015,4,73,1.8,5,False
Matt Milk,2011,2014,4,115,1.8,4,False
Matt Vogrich,2010,2013,4,120,1.8,4,False
Tom Schalk,2012,2015,4,82,1.8,4,False
Austin Burgett,2013,2016,4,83,1.79,4,False
John Swinton,2012,2015,4,96,1.79,4,False
Oj Evans,2010,2013,4,103,1.79,4,False
Peyton Smith,2018,2021,4,67,1.79,4,False
Travis Carroll,2011,2014,4,124,1.79,4,False
Devontae Watson,2013,2016,4,84,1.78,4,False
Justin Dahl,2017,2020,4,67,1.78,4,False
Kregg Jones,2011,2015,4,73,1.78,5,False
Royce Hamm Jr,2018,2021,4,90,1.78,4,False
Brad Calipari,2017,2021,4,60,1.77,5,False
Jacob Guest,2017,2020,4,65,1.77,4,False
