player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Elijah Thomas,2016,2021,6,142,7.86,6,False
Justin Graham,2009,2016,6,178,7.69,8,False
Nick Daniels,2009,2018,6,184,7.55,10,False
Robert Williams,2011,2018,6,181,7.38,8,False
Aaron Brown,2011,2016,6,180,7.31,6,False
Anthony Thomas,2009,2021,6,155,7.24,13,False
Shawn Jones,2011,2019,6,174,7.01,9,False
Mike Davis,2009,2019,6,161,6.98,11,False
Jordan Bell,2015,2021,6,178,6.97,7,False
Tyler Johnson,2009,2015,6,129,6.96,7,False
Justin Smith,2014,2021,6,169,6.85,8,False
Jordan Baker,2012,2017,6,194,6.58,6,False
Jeremy Smith,2009,2019,6,147,6.53,11,False
Myles Carter,2016,2021,6,102,6.47,6,False
Anthony Jones,2009,2021,6,167,6.44,13,False
Austin Richie,2012,2021,6,172,6.44,10,False
Jalen Harris,2012,2021,6,127,6.29,10,False
Mamadou Ndiaye,2014,2019,6,149,6.29,6,False
Malik Martin,2015,2021,6,167,6.25,7,False
Michael Green,2011,2020,6,138,6.09,10,False
Jordan Jones,2015,2021,6,160,5.77,7,False
Malik Miller,2016,2021,6,146,5.73,6,False
Jeremy Robinson,2009,2021,6,135,5.65,13,False
Chris Freeman,2012,2021,6,141,5.63,10,False
Marcus Thomas,2009,2021,6,148,5.63,13,False
Brandon Jackson,2009,2020,6,149,5.62,12,False
Bryan Smith,2012,2021,6,120,5.49,10,False
Josh Warren,2013,2020,6,171,5.38,8,False
Johnny Hill,2009,2016,6,167,5.3,8,False
Jonathan Williams,2009,2018,6,184,5.18,10,False
Tony Lewis,2009,2020,6,163,5.06,12,False
Cj Washington,2011,2020,6,153,5.01,10,False
John Jones,2014,2021,6,150,4.93,8,False
Jordan Campbell,2009,2021,6,104,4.83,13,False
Branden Johnson,2009,2020,6,131,4.75,12,False
Nathan Hawkins,2009,2018,6,167,4.65,10,False
Brandon Miller,2016,2021,6,129,4.61,6,False
Jamal Smith,2009,2020,6,138,4.5,12,False
Cj Williams,2009,2021,6,161,4.35,13,False
Chris Otule,2009,2014,6,124,4.33,6,False
Jordan Harris,2011,2020,6,119,4.26,10,False
Kevin Thomas,2009,2015,6,155,4.23,7,False
Jerry Jones,2009,2014,6,142,4.19,6,False
Kevin Brown,2011,2018,6,91,3.71,8,False
Brandon Mitchell,2010,2018,6,103,3.49,9,False
Jerome Hunter,2011,2021,6,164,3.43,11,False
Jordan Scott,2011,2018,6,165,3.43,8,False
Tj Taylor,2012,2021,6,153,3.33,10,False
Marcus Wallace,2015,2020,6,136,3.29,6,False
Jordan Green,2012,2020,6,134,3.21,9,False
Chris Barnes,2009,2020,6,160,3.12,12,False
Jordan Robertson,2012,2018,6,123,3.11,7,False
Justin Jenkins,2013,2020,6,129,2.98,8,False
Keith Smith,2009,2021,6,122,2.78,13,False
Matt Kennedy,2011,2018,6,95,2.7,8,False
Jordan Coleman,2011,2021,6,79,2.24,11,False
Donovan Williams,2012,2021,6,65,2.19,10,False
Josh Smith,2009,2021,6,132,2.19,13,False
Cameron Smith,2015,2021,6,104,1.84,7,False
Richard Brown,2011,2017,6,85,1.72,7,False
Brandon Allen,2009,2018,6,95,1.6,10,False
Ibrahima Diallo,2016,2021,6,68,1.29,6,False
Matt Hill,2009,2016,6,93,0.67,8,False
Antoine Mason,2011,2015,5,123,18.08,5,False
Tres Tinkle,2016,2020,5,125,18.01,5,False
Jalan West,2013,2018,5,91,17.31,6,False
Jordan Howard,2014,2018,5,127,16.2,5,False
Damion Lee,2012,2016,5,124,15.9,5,False
Umar Shannon,2010,2014,5,100,15.24,5,False
Justin Turner,2017,2021,5,113,15.17,5,False
Keon Johnson,2014,2021,5,144,15.16,8,False
Devon Baker,2010,2021,5,118,15.11,12,False
George Beamon,2010,2014,5,120,14.9,5,False
Anthony Drmic,2012,2016,5,125,14.77,5,False
Bryce Aiken,2017,2021,5,77,14.63,5,False
Ike Smith,2016,2020,5,124,14.44,5,False
Chris Fouch,2010,2014,5,126,14.38,5,False
Jalen Moore,2014,2021,5,150,14.05,8,False
Mark Yelovich,2009,2013,5,85,14.03,5,False
Marcus Foster,2014,2021,5,143,13.75,8,False
