,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,player_clean
52204,A.J. Cheeseman,Maryland Eastern Shore,MEAC,27,48.1,93.5,26.9,43.9,49.6,8.5,17.5,7.7,15.8,78,110,0.709,97,213,0.455,3,18,0.167,3.1,1.0,47.6,Sr,7-Jun,0.0,0.99362,98.3243,4.7,2020,48377,all,,0.33331387,72.0,123.0,25.0,89.0,0.5854,0.2809,4.0,6.0,0.6667,,103.697,110.47,1.29113,109.502,-6.04079,-3.73194,-2.30885,-4.01566,22.1786,-1.71414,-2.30152,1.8571,3.3571,5.2143,0.5714,0.3929,0.6429,10.3214,PF/C,1.73492,aj cheeseman
36216,A.J. Cockrell,UTSA,CUSA,29,30.4,87.8,14.0,41.4,44.26,8.0,9.9,3.6,19.1,17,31,0.548,29,69,0.42,0,1,0.0,1.5,1.0,44.3,Fr,8-Jun,33,-0.365966,78.5747,7.1,2016,41549,all,,0.38891574,25.0,45.0,8.0,29.0,0.5556,0.2759,1.0,1.0,1.0,,118.005,119.342,0.419801,56.2077,-7.94881,-4.57763,-3.37119,-8.7653,12.6897,-5.70085,-3.06445,0.9655,1.0,1.9655,0.2414,0.2414,0.1724,2.5862,C,0.148368,aj cockrell
42022,A.J. Davis,UCF,Amer,31,79.6,104.2,22.1,49.1,54.22,7.1,19.6,15.6,17.6,111,161,0.689,89,182,0.489,30,91,0.33,1.3,1.7,59.0,Sr,9-Jun,3,2.43513,108.799,2.5,2018,31864,all,55.4,1.03076109,70.0,119.0,19.0,63.0,0.5882,0.3016,10.0,10.0,1.0,,92.852,90.4077,4.45254,203.942,5.13929,1.30933,3.82996,4.97095,33.0,2.03335,2.9376,1.9355,5.6452,7.5806,2.1613,0.9355,0.3871,12.2258,Wing F,5.42993,aj davis
32589,A.J. English,Iona,MAAC,28,75.8,114.3,30.4,54.0,59.76,1.7,13.2,34.3,18.2,158,189,0.836,96,185,0.519,94,254,0.37,1.4,2.4,43.1,Sr,4-Jun,5,5.14023,128.229,2.4,2016,24085,all,,1.72279674,74.0,127.0,22.0,58.0,0.5827,0.3793,2.0,2.0,1.0,,102.084,103.661,3.15063,196.221,6.59384,6.38793,0.205904,7.09118,35.8929,6.54215,0.54903,0.5357,4.5,5.0357,6.2143,1.5714,0.5,22.5714,Scoring PG,13.9558,aj english
51100,A.J. Frazier,Xavier,BE,1,0.1,46.7,20.0,0.0,0.0,122.9,0.0,0.0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Fr,3-Jun,22.0,-0.132391,49.3052,0.0,2019,68064,all,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,115.513,109.995,0.0675387,0.0978882,-8.3257,9.50308,-17.8288,-25.3715,1.0,0.169255,-25.5407,1.0,0.0,1.0,0.0,0.0,0.0,0.0,PF/C,0.0,aj frazier
10658,A.J. Garden,Jacksonville,ASun,1,0.1,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,So,8-May,5,-0.324507,-8.59086,40.0,2011,10241,all,,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,100.684,105.952,0.0727849,0.138031,-37.8399,-26.6666,-11.1733,-71.3288,1.0,-56.5323,-14.7966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PF/C,0.0,aj garden
45586,A.J. Gareri,Ohio,MAC,10,4.9,61.3,12.5,27.8,37.97,0.0,12.6,2.6,28.7,4,6,0.667,1,4,0.25,1,5,0.2,0.0,0.0,66.7,Fr,9-Jun,44,-0.712683,52.9366,2.6,2018,50792,all,,0.25,1.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,,,109.292,108.795,0.426496,8.86931,-10.3433,-8.11595,-2.2274,-10.0228,6.1,-7.4,-2.62279,0.0,0.7,0.7,0.1,0.0,0.0,0.9,Wing F,4.49444,aj gareri
2701,A.J. Gasporra,UTSA,Slnd,13,6.6,91.1,15.6,71.9,71.88,1.4,3.1,7.9,42.1,0,0,0.0,1,4,0.25,7,12,0.583,0.0,0.7,0.0,So,2-Jun,,-0.0144556,83.5593,4.1,2009,5781,all,,0.33338148,,,,,,,,,,,108.625,110.041,0.331451,9.78588,-6.39703,-3.45879,-2.93824,-5.32592,6.0,-2.00925,-3.31666,0.0769,0.1538,0.2308,0.2308,0.0769,0.0,1.7692,,8.79172,aj gasporra
32626,A.J. Hammons,Purdue,B10,33,57.5,114.7,27.2,60.1,62.32,11.5,24.8,10.5,17.3,90,127,0.709,193,325,0.594,6,11,0.545,10.4,0.7,37.8,Sr,Jul-00,20,3.65811,130.235,3.8,2016,24381,all,85.2,0.56922373,115.0,141.0,78.0,184.0,0.8156,0.4239,44.0,49.0,0.898,46.0,87.656,83.4762,3.84443,202.705,9.73587,2.90867,6.8272,10.8745,24.6364,6.267,4.60752,2.3333,5.8485,8.1818,1.1212,0.2727,2.5455,14.9697,C,0.795572,aj hammons
14263,A.J. Hardeman,New Mexico,MWC,34,53.7,85.6,15.0,48.0,46.61,8.9,9.1,4.8,25.2,29,73,0.397,59,122,0.484,0,1,0.0,3.0,1.4,59.3,Sr,8-Jun,0,-0.246282,81.0444,4.9,2012,8285,all,46.4,0.41303864,46.0,83.0,13.0,39.0,0.5542,0.3333,15.0,19.0,0.7895,,93.111,91.8804,2.56909,126.581,1.29763,-1.98021,3.27784,-0.949996,21.5588,-3.0952,2.1452,1.5588,1.7647,3.3235,0.5588,0.5,0.5588,4.3235,C,0.0821128,aj hardeman
35444,A.J. Harris,Ohio St.,B10,35,33.7,86.6,16.5,40.4,44.08,0.5,7.3,22.4,26.7,19,28,0.679,16,50,0.32,16,49,0.327,0.2,1.5,28.3,Fr,9-May,12,-0.0748612,85.3553,3.3,2016,39110,all,83.6,1.63882957,10.0,27.0,6.0,23.0,0.3704,0.2609,2.0,2.0,1.0,,105.029,100.512,1.31896,67.2975,-3.72843,-2.45314,-1.27529,-2.90842,13.6571,-3.04279,0.134374,0.0571,0.9429,1.0,1.6857,0.3429,0.0286,2.8286,Scoring PG,6.1064,aj harris
3534,A.J. Hawkins,Wichita St.,MVC,33,61.3,96.2,17.3,44.1,46.18,5.9,8.6,11.3,16.8,34,58,0.586,77,166,0.464,8,36,0.222,2.3,2.4,28.7,Sr,5-Jun,,0.836086,94.0954,2.9,2009,8706,all,,1.13512307,,,,,,,,,,,101.06,98.9723,2.32189,132.106,1.41805,-0.089942,1.50799,0.490029,24.5152,-0.628987,1.11902,1.1515,1.6364,2.7879,1.2727,0.9394,0.4545,6.4242,,2.82978,aj hawkins
37261,A.J. Hess,South Dakota St.,Sum,27,53.0,113.6,16.3,54.1,57.36,2.4,13.3,4.5,10.0,38,45,0.844,16,35,0.457,64,172,0.372,1.6,1.1,21.7,Sr,7-Jun,35,1.85304,107.611,2.0,2017,27499,all,,0.70831319,12.0,26.0,4.0,9.0,0.4615,0.4444,0.0,0.0,,,112.646,111.978,1.5195,118.508,0.235307,2.23474,-1.99943,0.23167,25.7586,2.5046,-2.27293,0.4828,2.9655,3.4483,0.5862,0.5172,0.3103,9.4828,Wing F,14.0227,aj hess
51188,A.J. Hicks,Morehead St.,OVC,31,83.3,93.1,25.3,39.7,46.49,1.6,8.8,33.7,21.6,129,198,0.652,70,193,0.363,34,112,0.304,1.2,3.0,64.9,Sr,Jun-00,0.0,1.23329,98.1191,2.7,2019,68171,all,,1.88119968,52.0,113.0,18.0,80.0,0.4602,0.225,0.0,0.0,,,108.759,108.321,2.44526,192.791,-1.76556,-0.346851,-1.41871,-1.60707,32.8182,-0.629345,-0.977725,0.4848,2.5152,3.0,5.7576,1.7879,0.3636,11.9394,Pure PG,6.10528,aj hicks
5126,A.J. Highsmith,Appalachian St.,SC,20,4.7,147.8,9.4,68.2,71.13,2.0,8.3,5.6,9.8,2,2,1.0,0,0,0.0,5,11,0.455,0.0,0.0,18.2,Sr,4-Jun,31,0.44036,124.04,5.5,2010,1665,all,,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,109.15,109.839,0.18563,8.4421,0.071813,3.16953,-3.09772,-0.218512,3.25,1.2665,-1.48501,0.05,0.25,0.3,0.1,0.0,0.0,0.85,Combo G,10.2112,aj highsmith
64595,A.J. Hoggard,Michigan St.,B10,26,30.6,78.3,17.9,32.7,36.83,1.3,14.6,26.8,26.5,15,25,0.6,20,57,0.351,3,18,0.167,1.5,1.5,33.3,So,3-Jun,11,-0.236918,80.0705,3.6,2022,73402,all,85.8,1.82143192,16.0,37.0,4.0,20.0,0.4324,0.2,0.0,0.0,,,103.245,95.3812,1.45639,61.249,-2.25053,-3.7505,1.49998,-1.61918,13.2308,-3.45134,1.83216,0.1538,1.7308,1.8846,1.9615,0.3462,0.1923,2.4615,Combo G,3.03814,aj hoggard
