Unnamed: 0,2022,Unnamed: 2,Unnamed: 3,2009
Rk,Team,,,nan
182,UT Rio Grande Valley,,182,Holy Cross
183,NJIT,,183,Troy
184,Ohio,,184,Austin Peay
185,Green Bay,,185,Utah Valley
186,Santa Clara,,186,Sacred Heart
187,Oakland,,187,George Washington
188,New Mexico,,188,St. Bonaventure
189,Saint Joseph's,,189,UTSA
190,Seattle,,190,Stony Brook
191,IUPUI,,191,Manhattan
192,Purdue Fort Wayne,,192,San Jose St.
193,Northern Colorado,,193,Idaho St.
194,Hartford,,194,The Citadel
195,Texas Southern,,195,Iona
196,Illinois Chicago,,196,Liberty
197,Cal Baptist,,197,Missouri St.
198,Iona,,198,Georgia
199,Mercer,,199,Southeastern Louisiana
200,American,,200,Alabama St.
,,,,
,,,,
201,Hawaii,,201,Cal St. Fullerton
202,North Dakota St.,,202,Northern Colorado
203,Richmond,,203,Indiana St.
204,FIU,,204,Denver
205,Illinois St.,,205,SMU
206,Appalachian St.,,206,DePaul
207,Washington St.,,207,Fresno St.
208,Indiana St.,,208,Texas St.
209,Prairie View A&M,,209,Indiana
210,Cal St. Fullerton,,210,Lamar
211,Fairleigh Dickinson,,211,Delaware
212,Rider,,212,South Dakota St.
213,Florida Gulf Coast,,213,Chattanooga
214,South Alabama,,214,Hawaii
215,Columbia,,215,East Carolina
216,Pacific,,216,IPFW
217,Lamar,,217,UC Irvine
218,Dartmouth,,218,Mercer
219,William & Mary,,219,UC Riverside
220,Valparaiso,,220,UC Davis
221,Cornell,,221,Loyola MD
222,Little Rock,,222,Wofford
223,High Point,,223,Youngstown St.
224,Weber St.,,224,Navy
225,Long Beach St.,,225,Arkansas St.
226,Cal St. Bakersfield,,226,Valparaiso
227,Evansville,,227,Southern Utah
228,La Salle,,228,Georgia St.
229,South Dakota,,229,Loyola Chicago
230,UMBC,,230,Air Force
231,Boston University,,231,McNeese St.
232,Southeastern Louisiana,,232,Gardner Webb
233,Detroit,,233,Chicago St.
234,Quinnipiac,,234,William & Mary
235,Eastern Kentucky,,235,Rice
236,Massachusetts,,236,Montana St.
237,Eastern Washington,,237,Canisius
238,UMKC,,238,Tennessee Tech
239,Holy Cross,,239,Northern Arizona
240,Sacred Heart,,240,Ball St.
0,,,,
,,,,
241,California,,241,Western Carolina
242,Army,,242,Campbell
243,Air Force,,243,LIU Brooklyn
244,Norfolk St.,,244,San Francisco
245,Morehead St.,,245,Yale
246,Middle Tennessee,,246,Albany
247,Jacksonville,,247,Jackson St.
248,Rice,,248,Western Michigan
249,Troy,,249,Centenary
250,Montana St.,,250,Samford
251,Drexel,,251,Marist
252,UC Davis,,252,Central Michigan
253,Cal St. Northridge,,253,Eastern Washington
254,Arkansas St.,,254,Harvard
255,Western Michigan,,255,Presbyterian
256,Longwood,,256,Jacksonville St.
257,The Citadel,,257,Stetson
258,UMass Lowell,,258,Towson
259,Youngstown St.,,259,Louisiana Lafayette
260,Fordham,,260,Appalachian St.
261,St. Francis PA,,261,New Hampshire
262,New Orleans,,262,UMBC
263,LIU Brooklyn,,263,UNC Asheville
264,East Carolina,,264,Princeton
265,Delaware,,265,Lehigh
266,Chattanooga,,266,FIU
267,Siena,,267,Coppin St.
268,Grambling St.,,268,Eastern Illinois
269,Robert Morris,,269,Cal Poly
270,Loyola MD,,270,Detroit
271,North Dakota,,271,Saint Peter's
272,UNC Wilmington,,272,Cal St. Bakersfield
273,Southern Utah,,273,Penn
274,Sacramento St.,,274,Tennessee St.
275,St. Francis NY,,275,Hampton
276,Marist,,276,South Carolina St.
277,Western Carolina,,277,Wagner
278,Cleveland St.,,278,Winthrop
279,Albany,,279,Quinnipiac
280,Navy,,280,Columbia
,,,,
,,,,
281,Houston Baptist,,281,UMKC
282,Canisius,,282,New Orleans
283,Tulane,,283,USC Upstate
