player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,player_name_clean,pts_prev,pts_improvement,pts_first_year,pts_total_improvement,treb_prev,treb_improvement,treb_first_year,treb_total_improvement,ast_prev,ast_improvement,ast_first_year,ast_total_improvement,TS_per_prev,TS_per_improvement,TS_per_first_year,TS_per_total_improvement,bpm_prev,bpm_improvement,bpm_first_year,bpm_total_improvement,Min_per_prev,Min_per_improvement,Min_per_first_year,Min_per_total_improvement,usg_prev,usg_improvement,usg_first_year,usg_total_improvement,pts_career_avg,treb_career_avg,ast_career_avg,TS_per_career_avg,bpm_career_avg,Min_per_career_avg,usg_career_avg,years_in_college,name_std,draft_year,draft_pick,draft_round,was_drafted,raptor_total_mean,war_total_sum,season_count,mp_sum,target_drafted,target_draft_pick,is_low_pick,is_high_nba_performer,is_diamond
Alex Caruso,Texas A&M,SEC,37,71.1,111.6,17.5,56.6,59.75,4.1,9.5,31.1,26.8,51,65,0.785,83,145,0.572,28,76,0.368,1.6,4.2,29.4,Sr,5-Jun,21.0,2.53627,112.646,3.4,2016,24216,all,83.2,2.12639288,70.0,101.0,13.0,44.0,0.6931,0.2955,16.0,18.0,0.8889,,92.8983,87.9836,4.04549,230.328,8.93768,3.87646,5.06121,8.08564,28.8378,2.58753,5.49811,1.0811,2.5405,3.6216,5.0,2.0811,0.3784,8.1351,Pure PG,4.11003,Alex Caruso,9.1212,-0.9861000000000004,5.5152,2.6198999999999995,4.5455,-0.9238999999999996,3.2424,0.3792,5.5152,-0.5152000000000001,3.3939,1.6061,55.19,4.560000000000002,45.13,14.619999999999996,6.47715,2.4605300000000003,4.36197,4.57571,78.0,-6.900000000000006,60.4,10.699999999999996,21.0,-3.5,20.4,-2.8999999999999986,7.942875,3.749425,4.727275000000001,53.84,6.62205,70.65,20.0,4,alex caruso,,,,0,2.2433807001195434,10.839016424953742,5.0,4306.0,0,,True,True,True
Amir Johnson,Radford,BSth,28,79.7,91.9,15.6,41.7,43.43,1.2,8.5,30.2,25.1,31,59,0.525,37,91,0.407,29,102,0.284,0.4,1.6,30.6,Sr,9-May,11.0,-0.12643,83.4002,3.0,2010,3355,all,2.0,2.42429262,11.0,28.0,26.0,62.0,0.3929,0.4194,0.0,0.0,,,99.3184,102.837,2.7091,160.438,-2.74979,-1.90614,-0.843647,-3.03842,33.4286,-3.30527,0.266853,0.3929,2.8571,3.25,5.7143,0.9643,0.1429,6.8571,Pure PG,6.07159,Amir Johnson,9.6667,-2.8096000000000005,9.6667,-2.8096000000000005,4.8667,-1.6166999999999998,4.8667,-1.6166999999999998,5.1667,0.5476000000000001,5.1667,0.5476000000000001,50.19,-6.759999999999998,50.19,-6.759999999999998,-1.09674,-1.65305,-1.09674,-1.65305,91.5,-11.799999999999995,91.5,-11.799999999999995,17.4,-1.799999999999999,17.4,-1.799999999999999,8.2619,4.05835,5.4405,46.81,-1.923265,85.6,16.5,2,amir johnson,,,,0,1.062555280166667,20.714402929,6.0,9994.0,0,,True,True,True
Aron Baynes,Washington St.,P10,33,71.5,114.6,23.7,58.1,63.0,9.8,23.1,5.6,16.2,113,146,0.774,152,263,0.578,1,1,1.0,5.6,0.6,55.3,Sr,10-Jun,,3.9261,123.826,3.0,2009,1523,all,,0.37038623,,,,,,,,,,,89.9811,83.6351,4.23109,183.421,5.5786,1.63167,3.94693,7.2631,28.8182,4.08095,3.18214,2.0909,5.3939,7.4848,0.6061,0.2727,1.303,12.7273,,0.0712282,Aron Baynes,,,12.7273,0.0,,,7.4848,0.0,,,0.6061,0.0,,,63.0,0.0,,,5.5786,0.0,,,71.5,0.0,,,23.7,0.0,12.7273,7.4848,0.6061,63.0,5.5786,71.5,23.7,1,aron baynes,,,,0,-0.8196337956249999,10.050800038,8.0,8918.0,0,,True,True,True
Chandler Parsons,Florida,SEC,36,81.1,110.3,20.1,54.6,55.14,7.3,19.3,21.6,20.3,54,97,0.557,112,206,0.544,43,117,0.368,1.3,1.7,30.0,Sr,10-Jun,25.0,3.5965,116.025,2.2,2011,2243,all,94.4,1.67902226,89.0,121.0,23.0,85.0,0.7355,0.2706,22.0,25.0,0.88,38.0,95.262,90.6999,4.1897,232.775,8.60912,5.0632,3.54592,7.65528,34.1389,4.95164,2.70364,2.0556,5.6944,7.75,3.7778,0.9444,0.4167,11.3056,Stretch 4,5.90179,Chandler Parsons,12.3529,-1.0473,9.2222,2.0833999999999993,6.8529,0.8971,5.6667,2.0833000000000004,2.5882,1.1896,1.7778,2.0,58.7,-3.5600000000000023,53.33,1.8100000000000025,7.44858,1.160540000000001,5.29619,3.3129300000000006,76.7,4.3999999999999915,65.1,16.0,20.8,-0.6999999999999993,19.4,0.7000000000000028,10.960233333333337,6.7565333333333335,2.7146000000000003,55.723333333333336,7.117963333333333,74.3,20.1,3,chandler parsons,2011.0,38.0,2.0,1,-2.500233462,14.436978146,7.0,8971.0,1,38.0,True,True,True
Danny Green,North Carolina,ACC,37,68.6,120.8,19.5,56.3,58.65,6.8,10.3,16.3,16.4,50,58,0.862,98,193,0.508,75,181,0.414,4.4,3.4,15.5,Sr,5-Jun,,3.99345,126.237,3.3,2009,900,all,94.8,1.62899097,,,,,,,,,,46.0,93.2879,87.7191,3.66784,234.1,13.0388,7.81947,5.21935,11.7557,27.5135,7.42097,4.33469,1.7568,2.8649,4.6216,2.7297,1.7838,1.3243,12.7297,,9.35889,Danny Green,,,12.7297,0.0,,,4.6216,0.0,,,2.7297,0.0,,,58.65,0.0,,,13.0388,0.0,,,68.6,0.0,,,19.5,0.0,12.7297,4.6216,2.7297,58.65,13.0388,68.6,19.5,1,danny green,2009.0,46.0,2.0,1,3.1123047414952376,60.24425502306092,9.0,18570.0,1,46.0,True,True,True
Devin Harris,Jacksonville,ASun,25,76.1,96.0,23.4,43.4,50.37,3.7,21.8,30.3,23.5,96,130,0.738,95,212,0.448,7,31,0.226,0.6,2.5,53.5,Sr,4-Jun,3.0,1.10742,96.5144,2.1,2018,29442,all,,1.6288866,74.0,137.0,14.0,60.0,0.5401,0.2333,9.0,10.0,0.9,,102.864,104.87,3.00206,194.172,-0.57254,-1.77858,1.20604,-1.37203,33.5862,-1.78977,0.417741,1.1379,6.4828,7.6207,5.4483,1.6897,0.1724,12.5172,Combo G,1.92239,Devin Harris,10.913,1.6042000000000003,2.2941,10.2231,5.3913,2.2294,1.7059,5.9148000000000005,2.6957,2.7525999999999997,0.5882,4.8601,58.36,-7.990000000000002,45.17,5.199999999999996,-0.241282,-0.331258,-8.09267,7.52013,49.8,26.299999999999997,11.6,64.5,18.9,4.5,18.3,5.099999999999998,7.940325,5.1054,2.4330499999999997,50.09,-2.902428,46.575,19.9,4,devin harris,,,,0,1.208941761666667,15.619941657,6.0,7652.0,0,,True,True,True
Devonte' Graham,Kansas,B12,39,94.2,117.9,25.2,51.0,56.82,2.0,9.6,31.4,16.7,167,202,0.827,89,227,0.392,110,271,0.406,0.1,2.4,40.6,Sr,2-Jun,4.0,6.05396,133.726,1.5,2018,34391,all,80.4,2.58714097,54.0,125.0,35.0,103.0,0.432,0.3398,1.0,1.0,1.0,34.0,104.223,96.9292,4.25402,257.45,7.50065,6.88254,0.618118,7.71554,37.8205,6.34387,1.37167,0.6154,3.4103,4.0256,7.2308,1.5897,0.0513,17.3077,Pure PG,10.4699,Devonte' Graham,13.3611,3.9466,5.6552,11.6525,3.1111,0.9145,1.4828,2.5427999999999997,4.1389,3.0919000000000008,2.1034,5.1274,58.56,-1.740000000000002,53.56,3.259999999999998,7.41011,0.0905399999999998,4.0802,3.4204500000000007,87.2,7.0,35.8,58.400000000000006,17.8,7.399999999999999,18.9,6.300000000000001,11.87155,2.992725,4.293950000000001,57.2075,6.9830025,74.45,19.725,4,devonte graham,2018.0,34.0,2.0,1,1.5601786140226312,10.208188749717184,4.0,4810.0,1,34.0,True,True,True
Dewayne Dedmon,USC,P12,31,53.2,96.5,19.0,50.0,52.44,11.7,24.2,5.8,22.2,32,47,0.681,88,173,0.509,0,3,0.0,10.0,2.9,26.7,Jr,Jul-00,14.0,1.25908,100.445,5.4,2013,22191,all,48.6,0.38776415,48.0,72.0,39.0,99.0,0.6667,0.3939,27.0,31.0,0.871,,88.5165,84.1827,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,C,0.25813,Dewayne Dedmon,7.6,-0.8902999999999999,7.6,-0.8902999999999999,5.45,1.5176999999999996,5.45,1.5176999999999996,0.3,0.3129,0.3,0.3129,55.28,-2.8400000000000034,55.28,-2.8400000000000034,1.06602,6.21501,1.06602,6.21501,36.0,17.200000000000003,36.0,17.200000000000003,21.3,-2.3000000000000007,21.3,-2.3000000000000007,7.15485,6.20885,0.45645,53.86,4.173525,44.6,20.15,2,dewayne dedmon,,,,0,0.1954590547808371,10.78762470850869,9.0,7664.0,0,,True,True,True
Dorian Finney-Smith,Florida,SEC,36,79.1,113.7,22.4,52.8,56.94,7.9,19.4,13.2,15.0,121,165,0.733,98,194,0.505,71,193,0.368,2.6,1.6,42.6,Sr,8-Jun,10.0,3.92158,122.676,2.7,2016,29061,all,95.4,1.10291708,71.0,100.0,27.0,94.0,0.71,0.2872,17.0,19.0,0.8947,,95.9446,90.2357,4.25132,238.895,8.80714,4.86776,3.93938,8.81262,31.75,6.08556,2.72706,2.4722,5.8611,8.3333,2.0833,0.9167,0.8056,14.7222,Stretch 4,9.54111,Dorian Finney-Smith,13.1071,1.6151,6.3333,8.3889,6.2143,2.119,7.0303,1.302999999999999,1.5714,0.5119,1.8788,0.2044999999999999,56.35,0.5899999999999963,42.73,14.21,10.015,-1.2078600000000002,3.40077,5.406370000000001,58.8,20.299999999999997,72.0,7.099999999999994,25.9,-3.5,18.1,4.299999999999997,10.723075,7.0634,1.8969,50.927499999999995,7.2541075,67.725,22.4,4,dorian finneysmith,,,,0,-1.1392228542526286,12.558940776606208,6.0,8797.0,0,,True,True,True
Draymond Green,Michigan St.,B10,37,82.8,107.3,28.2,50.4,54.22,8.2,28.5,24.2,19.7,125,173,0.723,160,338,0.473,52,134,0.388,3.4,2.7,36.7,Sr,7-Jun,23.0,4.64124,124.752,3.4,2012,8827,all,86.4,1.25893629,101.0,165.0,59.0,173.0,0.6121,0.341,13.0,14.0,0.9286,35.0,83.1827,77.9306,5.56188,304.211,11.3117,4.6544,6.65732,11.033,33.2162,5.98404,5.04892,2.1351,8.4865,10.6216,3.8108,1.4595,0.973,16.2432,Stretch 4,6.63109,Draymond Green,12.6667,3.576500000000001,3.2973,12.945900000000002,8.6061,2.015500000000001,3.2973,7.324300000000001,4.1515,-0.3407000000000004,0.8378,2.973,51.92,2.299999999999997,57.71,-3.490000000000002,12.4099,-1.0982000000000005,9.28284,2.02886,74.2,8.599999999999994,27.6,55.2,25.8,2.3999999999999986,16.4,11.8,10.524775,7.563675,2.9567750000000004,55.005,11.171985,62.05,23.05,4,draymond green,2012.0,35.0,2.0,1,4.48917753430779,96.87916405814876,9.0,21469.0,1,35.0,True,True,True
