player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65,player_name_clean,pts_prev,pts_improvement,pts_first_year,pts_total_improvement,treb_prev,treb_improvement,treb_first_year,treb_total_improvement,ast_prev,ast_improvement,ast_first_year,ast_total_improvement,TS_per_prev,TS_per_improvement,TS_per_first_year,TS_per_total_improvement,bpm_prev,bpm_improvement,bpm_first_year,bpm_total_improvement,Min_per_prev,Min_per_improvement,Min_per_first_year,Min_per_total_improvement,usg_prev,usg_improvement,usg_first_year,usg_total_improvement,pts_career_avg,treb_career_avg,ast_career_avg,TS_per_career_avg,bpm_career_avg,Min_per_career_avg,usg_career_avg,years_in_college,name_std,draft_year,draft_pick,draft_round,was_drafted,raptor_total_mean,war_total_sum,season_count,mp_sum,target_drafted,target_draft_pick,is_low_pick,is_high_nba_performer,is_diamond
Duncan Robinson,Michigan,B10,40,63.8,121.6,15.8,57.9,61.57,2.2,9.5,7.4,9.3,57,64,0.891,43,72,0.597,74,194,0.381,1.7,1.6,24.1,Sr,8-Jun,22.0,2.80187,119.099,3.8,2018,36615,all,,1.75992132,33.0,49.0,10.0,23.0,0.6735,0.4348,3.0,3.0,1.0,,99.1197,92.4873,3.28328,163.613,7.1788,4.02669,3.15212,5.24468,25.8293,2.28314,2.96154,0.4634,1.9756,2.439,1.0732,0.6585,0.3902,9.2439,Wing F,11.3543,Duncan Robinson,7.6579,1.5860000000000003,11.4857,-2.2417999999999996,1.7368,0.7022000000000002,3.4857,-1.0467,0.8684,0.2047999999999999,1.8571,-0.7839,63.21,-1.6400000000000006,64.24,-2.6699999999999946,5.56213,1.61667,5.49867,1.68013,49.8,14.0,73.0,-9.200000000000005,17.0,-1.1999999999999993,17.4,-1.599999999999998,9.4625,2.5538333333333334,1.266233333333333,63.00666666666666,6.079866666666667,62.2,16.733333333333334,3,duncan robinson,,,,0,-1.7806460194942533,10.61056682550482,4.0,5485.0,0,,True,True,True
Dwight Powell,Stanford,P12,36,80.8,101.3,26.8,47.5,52.69,7.3,17.3,20.4,19.6,145,211,0.687,165,340,0.485,10,39,0.256,2.8,2.4,55.7,Sr,10-Jun,33.0,3.02066,114.63,3.9,2014,17946,all,93.4,1.07691506,86.0,139.0,79.0,201.0,0.6187,0.393,22.0,26.0,0.8462,45.0,98.4977,93.3368,4.07434,236.615,5.40631,1.62738,3.77893,4.7505,32.4167,2.29425,2.45625,1.9444,4.9167,6.8611,3.1111,1.3056,0.8333,14.0278,Wing F,1.97224,Dwight Powell,14.8824,-0.8546000000000014,8.129,5.8988,8.3824,-1.5213,5.1613,1.6998000000000006,2.1176,0.9935,0.9677,2.1433999999999997,54.72,-2.030000000000001,53.62,-0.9299999999999996,6.43964,-1.0333299999999994,4.0042,1.4021100000000004,75.6,5.200000000000003,60.7,20.09999999999999,26.6,0.1999999999999993,19.2,7.600000000000001,10.70265,6.2512,1.7348249999999998,53.0075,4.7804,64.475,23.325,4,dwight powell,2014.0,45.0,2.0,1,-0.139167816190885,15.793676973216416,8.0,8213.0,1,45.0,True,True,True
E'Twaun Moore,Purdue,B10,34,84.4,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,100,141,0.709,151,319,0.473,70,175,0.4,1.6,2.2,28.5,Sr,4-Jun,33.0,5.07602,128.26,2.5,2011,201,all,95.0,1.77052561,44.0,77.0,107.0,242.0,0.5714,0.4421,4.0,4.0,1.0,55.0,93.8872,88.3413,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,Combo G,9.19112,E'Twaun Moore,16.4286,1.5714000000000006,13.8378,4.1622,3.8286,1.3185000000000002,4.6216,0.5255000000000001,2.6571,0.5194000000000001,3.0,0.1764999999999998,53.13,1.4199999999999946,51.73,2.8200000000000003,6.81518,2.23545,4.88535,4.16528,78.5,5.900000000000006,81.9,2.5,27.7,-0.8999999999999986,25.1,1.6999999999999993,16.088800000000003,4.5324333333333335,2.9445333333333337,53.13666666666666,6.917053333333333,81.60000000000001,26.53333333333333,3,etwaun moore,2011.0,55.0,2.0,1,-0.841634685,10.86459401,8.0,10890.0,1,55.0,True,True,True
Fred VanVleet,Wichita St.,MVC,31,65.7,112.7,24.7,46.1,52.35,1.3,11.9,39.6,14.6,98,120,0.817,76,192,0.396,43,113,0.381,0.4,3.7,39.3,Sr,Jun-00,23.0,3.70344,124.016,2.4,2016,26143,all,,3.18525749,56.0,117.0,20.0,75.0,0.4786,0.2667,0.0,0.0,,,87.9979,88.1304,4.0801,183.233,8.85478,5.1063,3.74848,9.7313,29.0323,5.01046,4.72084,0.3548,2.871,3.2258,5.5484,1.7742,0.0968,12.2258,Pure PG,7.5686,Fred VanVleet,13.5714,-1.345600000000001,4.2821,7.9437,4.4571,-1.2312999999999996,1.8462,1.3796,5.2286,0.3197999999999998,2.2821,3.2663,55.39,-3.039999999999999,48.55,3.800000000000004,11.2432,-2.38842,2.85186,6.00292,79.3,-13.599999999999994,40.4,25.300000000000004,25.1,-0.4000000000000021,18.6,6.099999999999998,10.419825,3.3322749999999997,4.6005,54.3,8.257435000000001,66.225,21.9,4,fred vanvleet,,,,0,2.593787879217502,24.715198247932666,6.0,8872.0,0,,True,True,True
Garrett Temple,LSU,SEC,35,75.2,104.4,15.9,43.1,49.61,4.8,11.7,21.3,23.4,66,82,0.805,47,116,0.405,29,94,0.309,2.3,3.3,39.0,Sr,6-Jun,,1.70177,100.576,3.7,2009,29,all,64.0,2.0,,,,,,,,,,,95.5957,92.8183,3.49024,206.993,5.29554,2.55868,2.73686,3.86154,30.2857,0.740255,3.12129,1.3143,3.2286,4.5429,3.8286,1.7143,0.6857,7.0571,,5.199,Garrett Temple,,,7.0571,0.0,,,4.5429,0.0,,,3.8286,0.0,,,49.61,0.0,,,5.29554,0.0,,,75.2,0.0,,,15.9,0.0,7.0571,4.5429,3.8286,49.61,5.29554,75.2,15.9,1,garrett temple,,,,0,-0.4237381720439075,15.2183014512031,9.0,12288.0,0,,True,True,True
Hassan Whiteside,Marshall,CUSA,31,65.6,101.7,24.9,51.0,53.55,12.0,24.0,1.8,16.4,101,170,0.594,143,284,0.504,3,5,0.6,18.3,1.2,58.8,Fr,Jul-00,21.0,2.27687,109.519,3.8,2010,11351,all,,0.11864228,77.0,107.0,66.0,177.0,0.7196,0.3729,40.0,41.0,0.9756,33.0,88.111,86.6474,3.62789,231.982,4.99274,-2.30069,7.29344,6.74362,26.5484,2.06156,4.68207,2.7742,6.129,8.9032,0.2258,0.5484,5.2581,12.7742,C,0.345292,Hassan Whiteside,,,12.7742,0.0,,,8.9032,0.0,,,0.2258,0.0,,,53.55,0.0,,,4.99274,0.0,,,65.6,0.0,,,24.9,0.0,12.7742,8.9032,0.2258,53.55,4.99274,65.6,24.9,1,hassan whiteside,2010.0,33.0,2.0,1,2.1471261814471245,28.8921870078626,8.0,11960.0,1,33.0,True,True,True
Isaiah Thomas,Northern Arizona,BSky,23,15.5,97.7,16.9,55.6,53.23,9.7,16.1,3.1,19.1,6,16,0.375,25,45,0.556,0,0,0.0,6.2,0.9,35.6,Sr,9-Jun,33.0,0.0678981,89.8033,8.5,2019,39803,all,,0.27263224,21.0,33.0,4.0,12.0,0.6364,0.3333,2.0,3.0,0.6667,,108.656,111.197,0.528748,36.5911,-5.25484,-4.54977,-0.705067,-7.54529,8.4348,-6.14001,-1.40528,0.7391,1.1304,1.8696,0.1304,0.1304,0.4348,2.4348,C,0.0,Isaiah Thomas,5.75,-3.3152,15.5588,-13.124,5.0,-3.1304,3.0588,-1.1892000000000005,0.1562,-0.0258,2.5588,-2.4284000000000003,53.2,0.029999999999994,50.83,2.3999999999999986,-2.35717,-2.8976699999999997,3.69057,-8.945409999999999,49.7,-34.2,70.1,-54.599999999999994,15.4,1.4999999999999982,27.7,-10.8,8.845,3.0348714285714284,1.7562714285714287,54.89857142857143,-0.3025971428571427,46.7,20.228571428571428,7,isaiah thomas,2011.0,60.0,2.0,1,-0.8287473872500001,30.325954766,8.0,12312.0,1,60.0,True,True,True
Ish Smith,Wake Forest,ACC,29,51.5,96.3,18.2,45.2,48.89,2.5,9.7,25.3,26.6,30,38,0.789,64,136,0.471,7,29,0.241,0.2,2.1,23.0,Jr,Jun-00,,0.99631,97.3179,2.1,2009,12724,all,78.2,1.6949128,,,,,,,,,,,97.8474,92.2322,2.59821,116.187,0.898213,0.533862,0.364351,1.31394,22.0,0.429907,0.884033,0.4828,2.1724,2.6552,3.4483,0.8621,0.0345,6.1724,,2.38787,Ish Smith,,,6.1724,0.0,,,2.6552,0.0,,,3.4483,0.0,,,48.89,0.0,,,0.898213,0.0,,,51.5,0.0,,,18.2,0.0,6.1724,2.6552,3.4483,48.89,0.898213,51.5,18.2,1,ish smith,,,,0,-1.2095607106863713,11.700897687237546,9.0,12380.0,0,,True,True,True
Jae Crowder,Marquette,BE,35,82.4,122.3,22.0,56.8,59.85,7.0,20.5,13.5,9.8,119,162,0.735,156,259,0.602,61,177,0.345,3.1,4.3,37.2,Sr,6-Jun,32.0,5.48984,132.374,3.2,2012,15568,all,,1.65913615,128.0,171.0,28.0,88.0,0.7485,0.3182,8.0,8.0,1.0,34.0,84.8446,81.1209,5.17007,311.979,13.2884,7.37385,5.91459,13.0841,32.9429,7.96643,5.1177,2.0,6.4,8.4,2.0857,2.5143,1.0,17.5429,Wing G,8.64561,Jae Crowder,11.7568,5.786099999999999,11.7568,5.786099999999999,6.7838,1.6162,6.7838,1.6162,1.5676,0.5181,1.5676,0.5181,56.44,3.4100000000000037,56.44,3.4100000000000037,10.056,3.2324,10.056,3.2324,68.8,13.600000000000009,68.8,13.600000000000009,19.5,2.5,19.5,2.5,14.64985,7.591900000000001,1.82665,58.145,11.6722,75.6,20.75,2,jae crowder,2012.0,34.0,2.0,1,1.700905543312624,37.38344670243415,9.0,18319.0,1,34.0,True,True,True
Jerami Grant,Syracuse,ACC,32,73.4,115.6,21.4,49.6,54.74,9.1,17.2,9.4,11.3,120,178,0.674,133,263,0.506,0,5,0.0,2.5,1.7,66.4,So,8-Jun,3.0,3.82466,123.053,3.0,2014,25897,all,90.6,1.18924056,88.0,129.0,45.0,135.0,0.6822,0.3333,28.0,33.0,0.8485,39.0,97.8648,92.424,4.02905,166.665,4.63048,2.57061,2.05987,5.21693,31.4062,3.38554,1.83139,2.4375,4.3438,6.7812,1.375,0.8125,0.5625,12.0625,C,0.326018,Jerami Grant,3.875,8.1875,3.875,8.1875,2.95,3.8312,2.95,3.8312,0.45,0.925,0.45,0.925,51.1,3.640000000000001,51.1,3.640000000000001,3.79555,0.8349300000000004,3.79555,0.8349300000000004,35.5,37.900000000000006,35.5,37.900000000000006,16.0,5.399999999999999,16.0,5.399999999999999,7.96875,4.865600000000001,0.9125,52.92,4.213015,54.45,18.7,2,jerami grant,2014.0,39.0,2.0,1,-1.4345743386908758,13.41360294812758,8.0,14213.0,1,39.0,True,True,True
Jeremy Lin,Harvard,Ivy,28,79.6,113.3,26.5,57.5,62.7,3.2,13.4,30.8,21.3,142,190,0.747,113,189,0.598,30,86,0.349,3.4,4.4,69.1,Sr,3-Jun,4.0,4.08993,121.541,3.6,2010,2422,all,15.0,1.43680607,96.0,143.0,17.0,46.0,0.6713,0.3696,11.0,11.0,1.0,,92.2094,94.8671,3.49379,202.448,8.17765,5.11167,3.06598,8.80188,32.3929,5.42258,3.37929,0.75,3.6429,4.3929,4.4643,2.4286,1.0,16.3571,Scoring PG,5.57163,Jeremy Lin,17.8148,-1.4577000000000029,17.8148,-1.4577000000000029,5.4074,-1.0145,5.4074,-1.0145,4.2222,0.2420999999999997,4.2222,0.2420999999999997,60.05,2.6500000000000057,60.05,2.6500000000000057,4.6202,3.55745,4.6202,3.55745,86.8,-7.200000000000003,86.8,-7.200000000000003,29.8,-3.3000000000000007,29.8,-3.3000000000000007,17.08595,4.90015,4.343249999999999,61.375,6.398925,83.19999999999999,28.15,2,jeremy lin,,,,0,-0.3609078943333334,17.672301043,6.0,8746.0,0,,True,True,True
Joe Harris,Virginia,ACC,37,71.8,113.4,22.1,54.7,56.48,2.7,9.8,18.1,13.4,73,114,0.64,77,158,0.487,72,180,0.4,0.9,2.2,33.7,Sr,6-Jun,12.0,3.44919,122.301,3.3,2014,17280,all,73.8,1.75001923,55.0,81.0,22.0,77.0,0.679,0.2857,1.0,2.0,0.5,33.0,93.7017,89.0955,4.04406,172.192,8.39072,5.6791,2.71162,7.96411,28.8108,4.54486,3.41925,0.5946,2.3514,2.9459,2.2703,0.9459,0.2162,11.973,Combo G,11.1052,Joe Harris,16.2857,-4.312699999999998,10.4194,1.5536000000000012,4.0286,-1.0827,4.3548,-1.4089,2.1714,0.0988999999999999,1.2581,1.0122000000000002,59.47,-2.990000000000002,56.96,-0.480000000000004,6.91462,1.4760999999999995,5.23394,3.1567800000000004,81.1,-9.299999999999995,72.8,-1.0,26.3,-4.199999999999999,20.1,2.0,10.62478,3.3608599999999997,1.55038,56.681999999999995,4.375202,63.08,20.8,5,joe harris,2014.0,33.0,2.0,1,-6.124250869617051,11.703247894206422,8.0,11061.0,1,33.0,True,True,True
Jordan Clarkson,Missouri,SEC,35,86.8,109.7,27.3,48.1,54.58,2.9,9.3,23.3,16.8,162,195,0.831,177,354,0.5,32,114,0.281,0.6,1.9,41.7,Jr,5-Jun,5.0,4.52479,125.247,2.5,2014,15896,all,59.0,1.26882698,118.0,186.0,59.0,169.0,0.6344,0.3491,10.0,11.0,0.9091,46.0,106.782,103.088,3.20357,194.678,3.34317,3.73257,-0.389393,3.62059,35.0857,3.71877,-0.0981812,0.8,3.0286,3.8286,3.3714,1.0857,0.1714,17.4857,Combo G,5.62763,Jordan Clarkson,16.4839,1.001800000000003,11.4815,6.004200000000001,3.871,-0.0424000000000002,2.0741,1.7544999999999995,2.5484,0.823,1.9259,1.4455,54.92,-0.3400000000000034,55.07,-0.490000000000002,3.15136,0.1918100000000002,-1.44798,4.79115,82.5,4.299999999999997,51.7,35.099999999999994,27.0,0.3000000000000007,27.2,0.1000000000000014,15.150366666666663,3.2579,2.6152333333333333,54.85666666666666,1.6821833333333334,73.66666666666667,27.166666666666668,3,jordan clarkson,2014.0,46.0,2.0,1,-0.2033690662040796,17.23354800098562,8.0,15009.0,1,46.0,True,True,True
Josh Richardson,Tennessee,SEC,32,90.4,110.7,25.3,51.9,56.02,2.9,13.2,24.4,18.9,99,124,0.798,138,271,0.509,46,128,0.359,2.0,3.8,31.1,Sr,6-Jun,1.0,4.88145,124.294,2.7,2015,20063,all,51.0,1.35298553,49.0,71.0,89.0,200.0,0.6901,0.445,8.0,8.0,1.0,40.0,101.953,97.3721,3.76925,210.401,5.88059,4.44294,1.43766,7.4839,36.3125,5.35188,2.13202,0.875,3.5938,4.4688,3.5938,2.0938,0.5,16.0312,Combo G,7.20117,Josh Richardson,10.3056,5.725599999999998,2.8788,13.152399999999998,2.8889,1.5799,1.3939,3.0749,1.5,2.0938,0.6364,2.9574,56.84,-0.8200000000000003,43.23,12.790000000000006,6.92366,-1.0430700000000002,1.24189,4.6387,76.0,14.400000000000006,38.7,51.7,16.3,9.0,13.9,11.4,9.281175,3.2712250000000003,1.818925,52.175,4.7151325,70.175,17.875,4,josh richardson,2015.0,40.0,2.0,1,-0.2042541101221596,21.252573903502096,7.0,12318.0,1,40.0,True,True,True
